Drug,y_true,logit,prob,pred_mcc,pred_prev
CCNC(=NC#N)NCCSCc1ncccc1Br,0.0,2.031,0.8843,1,1
CN(C)CCc1ccccn1,1.0,0.7085,0.67,1,1
CNCCc1ccccn1,1.0,0.2812,0.57,1,1
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0.0,-3.08,0.0439,0,0
CCNCc1c(CSC)cnc(C)c1O,1.0,1.545,0.8247,1,1
CC(C)NNC(=O)c1ccncc1,1.0,1.134,0.7563,1,1
CC(C)NCC(O)COc1cccc2ccccc12,1.0,1.531,0.822,1,1
CN=C(Cc1ccc2ccccc2c1)NC,1.0,1.47,0.8125,1,1
CC(Oc1cccc2ccccc12)C(N)=NO,1.0,0.4087,0.601,1,1
Cc1cc(=O)oc2cc(O)ccc12,0.0,0.4023,0.599,1,1
CC(=O)OC1CCC2(C)C3CCC4(C)C(C(C)CCCC(C)C)CCC4C3CC(Br)C2C1Br,1.0,1.646,0.839,1,1
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,1.0,-1.253,0.2222,1,0
CCOC1CC2(C)C(CCC3C4CCC(C(C)=O)C4(C)CC(N(C)C)C32)CC1O,1.0,-0.8647,0.2964,1,0
CN(C)CCC(c1ccccc1)C1CCCCC1,1.0,0.9185,0.7144,1,1
CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O,1.0,1.462,0.812,1,1
C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,1.0,1.365,0.7964,1,1
CCCC(CC)C1(CC)C(=O)NC(=O)NC1=O,1.0,1.516,0.82,1,1
C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,1.0,1.754,0.8525,1,1
C=CCC1(CC(C)(C)C)C(=O)NC(=O)NC1=O,1.0,1.486,0.8154,1,1
CN(C)c1cnccn1,1.0,0.906,0.712,1,1
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1.0,1.548,0.8247,1,1
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,1.195,0.7676,1,1
CNC(=O)CCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,1.294,0.7847,1,1
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,1.0,1.85,0.8643,1,1
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,1.0,1.298,0.785,1,1
COc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1.0,1.269,0.7803,1,1
