Drug,y_true,y_pred,error
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,2.0004961,-0.5635,2.5639727
CC(=O)c1cc2ccc(O)cc2oc1=O,2.0004961,-0.3552,2.3557208
COc1ccc2ncc(F)c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1,1.7677559,-0.507,2.274592
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,2.0004961,-0.1062,2.1066973
COc1ccnc(CSc2nc3ccccc3[nH]2)c1,2.0004961,0.0973,1.9032061
Nc1ccc2c(-c3ccncc3)c(-c3ccc(F)cc3)[nH]c2n1,1.3678552,-0.4407,1.808529
NC1(c2ccc(-c3nc4ccccn4c3-c3ccccc3)cc2)CCC1,2.0004961,0.2134,1.7871172
O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCc2ccccc2C1,-0.008347967,1.761,1.7690902
CC(NCc1ccccc1-c1ccc(CCNCC(O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,1.1831809,-0.2231,1.4063255
CCC(N)C(=O)NC(C#N)Cc1ccc(-c2ccccc2)cc1,0.8523628,-0.3708,1.2232125
COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,-0.86010724,0.1964,1.0565183
O=C(NCc1cccnc1)c1cc(-c2ccco2)on1,2.0004961,0.9834,1.0170977
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,-0.86010724,0.1023,0.96240216
CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,-0.82741463,-0.00545,0.8219634
CC1CNC(Nc2c(Cl)cccc2Cl)=N1,-0.86010724,-0.0757,0.78442365
NC1=Nc2ccccc2Sc2ccccc21,-0.7639754,0.015045,0.77902055
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,-0.8423987,-0.1476,0.6948157
NC1=Nc2ccccc2Sc2cccc(F)c21,-0.66200554,0.0269,0.6889068
CC(O)C(NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO,-0.16149728,-0.845,0.68371755
COc1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccccc2F)c(OC)c1,2.0004961,1.368,0.6323321
CCCC(=O)Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1,0.65776396,0.03534,0.6224246
