Drug,y_true,y_pred,error
CCSc1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,2.1997085,-0.4873,2.6870131
CCCC(=O)Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1,2.554156,0.189,2.3651912
CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,2.554156,0.293,2.2611873
CC(NCc1ccccc1-c1ccc(CCNCC(O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,1.5461955,-0.4163,1.9624553
COc1ccc(C=NN=Cc2ccc(OC)c(OC)c2)cc1OC,-0.34788403,1.593,1.9406575
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,1.8946619,-0.0115,1.9061594
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,-0.70233166,1.18,1.8820192
Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1,-0.61371976,0.9106,1.5243642
CN(C)S(=O)(=O)c1ccc2c(C(=O)NCC(O)CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)c[nH]c(=O)c2c1,1.1363654,-0.3474,1.4837775
COc1ccnc(CSc2nc3ccccc3[nH]2)c1,1.1363654,-0.1752,1.3115363
CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,1.2057043,-0.0775,1.283219
CCN(CC)CCn1c2ccccc2c2cnc(N)c(C#N)c21,0.80407083,-0.3196,1.1236509
CCn1c(SCC(=O)Nc2cccc(C)c2)nnc1-c1ccccc1,2.554156,1.498,1.0561092
O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCc2ccccc2C1,1.073894,2.115,1.0413404
Cc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2cccc3cccnc23)c(C)c1,2.554156,1.725,0.8295467
COc1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccccc2F)c(OC)c1,2.554156,1.737,0.8168514
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N,0.3674356,-0.41,0.7773477
O=C(NCc1cccnc1)c1cc(-c2ccco2)on1,-0.4630795,0.2876,0.75067717
N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O,0.3167053,-0.4324,0.74907833
CC(C(=O)OC1C[N+]2(CCOc3ccc(Cl)cc3)CCC1CC2)(c1ccccc1)N1CCCCC1,1.4465072,0.7246,0.72189784
Cc1ccc2c(c1)C1(CCN(CCc3nc(-c4ccccc4)oc3C)CC1)OC(=O)N2,0.9908204,1.69,0.6996093
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C2COCCN2)c1,0.52715856,-0.1375,0.66460973
CC(C(=O)OC1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1ccccc1)N1CCCCC1,-0.015589375,0.6484,0.66402686
COc1ccc(C#Cc2ccc(C3C(CO)N4CCCCN(C(=O)Nc5cccc(F)c5)CC34)cc2)cc1,0.3415166,-0.267,0.60860646
N#Cc1ccc(Nc2nccc(NC3CC3)n2)cc1,0.22809339,-0.3643,0.5923512
Nc1ccc(-c2ccccc2Cl)cc1,0.11311942,0.5986,0.4855134
Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,-0.70233166,-0.2268,0.47552502
CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1,-0.552356,-0.08575,0.4666016
N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,-0.70233166,-0.2637,0.4386598
N#Cc1ccc(C(F)(F)F)nc1OC(CCN)c1ccno1,-0.70233166,-0.2827,0.41961682
Cc1ccc(C(=O)NC(C)C)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,-0.70233166,-0.2913,0.4110719
Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3noc(-c4ccc(F)cc4)n3)(CC1)CC2,-0.70233166,-0.2957,0.40667737
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,-0.65802574,-0.258,0.3999691
CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C,0.13948147,-0.2281,0.3676309
O=C(O)COc1ccc(Br)cc1-c1ccccc1,-0.70233166,-0.3535,0.34881604
CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,-0.65802574,-0.3125,0.34552574
Cc1ccc(C#N)cc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,-0.70233166,-0.3574,0.3449098
COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,0.19486392,0.539,0.34419858
Cc1c(Cl)ccc(OC2CCN(CC(O)CNC(=O)c3c[nH]c(=O)c4ccc(S(C)(=O)=O)cc34)CC2)c1Cl,-0.70233166,-0.3643,0.33807385
CCC(N)C(=O)NC(C#N)Cc1ccc(-c2ccccc2)cc1,-0.13366474,-0.4688,0.33508527
CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,1.3959984,1.067,0.32861555
CCOc1ccc(-n2c(C(C)N(Cc3cccnc3)C(=O)Cc3ccc(C(F)(F)F)cc3)nc3ccccc3c2=O)cc1,-0.39152542,-0.0729,0.31864944
O=C(O)CC1CCC(c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,-0.70233166,-0.3857,0.31658947
O=C(O)COc1ccc([N+](=O)[O-])cc1-c1ccccc1,-0.70233166,-0.3975,0.30487072
N#Cc1ccc(OCC(=O)O)c(-c2ccccc2)c1,-0.6358728,-0.331,0.3048181
O=C(NCC(O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2cc(S(=O)(=O)NCCO)ccc12,-0.6358728,-0.3328,0.3031091
