Drug,y_true,logit,prob,pred_mcc,pred_prev
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,0.0,0.5874,0.6426,0,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0,1.0625,0.743,0,0
CC(C)NCC(O)COc1cccc2ccccc12,0.0,-1.257,0.2214,0,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0.0,0.6646,0.66,0,0
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,0.0,0.5737,0.6396,0,0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1.0,-0.982,0.2725,0,0
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.0,0.3384,0.584,0,0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0.0,0.388,0.596,0,0
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.0,-0.7026,0.3313,0,0
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0.0,-0.788,0.3125,0,0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0.0,1.473,0.8135,0,1
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0.0,1.166,0.7627,0,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,0.0,-0.0827,0.4795,0,0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0.0,0.9126,0.7134,0,0
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0.0,1.333,0.7915,0,1
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,1.0,-0.296,0.4268,0,0
N=C(N)NCC1COc2ccccc2O1,0.0,-1.401,0.1975,0,0
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,0.0,0.8433,0.699,0,0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0.0,0.1433,0.5356,0,0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,0.0,-0.121,0.4697,0,0
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,1.863,0.8657,1,1
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0.0,0.542,0.6323,0,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,0.6777,0.663,0,0
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,0.0,0.844,0.699,0,0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.0,0.53,0.6294,0,0
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,0.0,-0.1462,0.4639,0,0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0.0,1.004,0.732,0,0
O=C(NC1CCSC2CCCC(C(=O)O)N2C1=O)C(S)Cc1ccccc1,0.0,0.7188,0.6724,0,0
CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,0.0,0.4126,0.6016,0,0
NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,0.0,0.722,0.6733,0,0
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,0.0,0.02174,0.5054,0,0
