Drug,y_true,logit,prob,pred_mcc,pred_prev
Cc1cc(C)nc(NC(=O)CCCC(=O)O)c1,0.0,-1.561,0.1736,0,0
CCCCC(=O)NC(Nc1cc(C)ccn1)(C(=O)OCC)C(F)(F)F,1.0,-1.517,0.1799,0,0
CCOC(=O)c1cccc(C(=O)OCC)n1,0.0,-1.064,0.2566,0,0
Cc1ncc(CO)c(CN)c1O,0.0,-1.997,0.1195,0,0
Cc1ncc(COP(=O)(O)O)c(C)c1O,0.0,-1.636,0.1631,0,0
CN(C)CCNc1ccccn1,0.0,-2.04,0.1151,0,0
CCN(CC(=O)O)C(=O)c1cccnc1,0.0,-1.725,0.1512,0,0
CCc1ccc(CCC(=O)O)nc1,0.0,-1.289,0.2161,0,0
CN(C)CCCc1cccnc1,0.0,-2.096,0.1095,0,0
CC(C)CNCCc1ccccn1,0.0,-1.936,0.1261,0,0
CC(C)C(=O)C(C)(C)CCc1ccccn1,0.0,-0.1531,0.4622,0,0
CN(C)CCC(C(=O)C(C)(C)C)c1ccccn1,0.0,-2.555,0.0721,0,0
N=C(N)SCCc1ccccn1,0.0,-1.747,0.1484,0,0
N=C(N)SCCc1ccncc1,0.0,-1.736,0.1498,0,0
O=C(O)C(O)Cc1ccccn1,0.0,-1.486,0.1844,0,0
C[N+](C)(C)CC(=O)NN=Cc1ccncc1,0.0,-2.287,0.0922,0,0
OCCCNCc1ccccn1,0.0,-1.645,0.1619,0,0
OCCCNCc1ccncc1,0.0,-1.652,0.1608,0,0
O=C(O)Cc1cccnc1,0.0,-1.382,0.2007,0,0
CN(C)Cc1ccc(O)c(CN(C)C)n1,0.0,-2.092,0.10986,0,0
CN(CCO)Cc1ncccc1O,0.0,-1.883,0.1321,0,0
NCCOc1ccccn1,0.0,-1.918,0.128,0,0
CC(=O)CSCc1ccccn1,0.0,-1.352,0.2056,0,0
O=C(O)CSc1ncccc1[N+](=O)[O-],0.0,-1.993,0.1199,0,0
O=C(O)C=CC(=O)Nc1ccccn1,0.0,-1.281,0.2173,0,0
O=C(NCP(=O)(O)O)c1cccnc1,0.0,-1.977,0.12164,0,0
CN(C)CC(CN(C)C)c1ccccn1,0.0,-2.291,0.09186,0,0
O=C(O)c1ccncc1,0.0,-1.576,0.1714,0,0
OCc1ccncc1,1.0,-1.489,0.1841,0,0
CN(C)S(=O)(=O)Nc1ccccn1,0.0,-1.997,0.1195,0,0
NC([N-]N=Cc1ccccn1)=S=[Fe],0.0,1.113,0.753,1,1
CSC([N-]N=Cc1cccc(C)n1)=S=[Cu],1.0,2.455,0.921,1,1
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0.0,-2.057,0.1134,0,0
O=C(O)c1cc(C(=O)O)nc(C(=O)O)c1,0.0,-1.648,0.1613,0,0
CCOC(=O)CCCNC(=O)c1cncc(Br)c1,0.0,-1.225,0.2272,0,0
Cc1ncc(CO)c(CO)c1O,0.0,-1.917,0.1282,0,0
CNCCc1ccccn1,0.0,-1.548,0.1753,0,0
O=C(O)Cc1cccnc1C(=O)O,0.0,-1.844,0.1366,0,0
CC(=O)OCCNC(=O)c1cccnc1,0.0,-1.514,0.1804,0,0
Cc1ccnc(N)c1,0.0,-1.444,0.1909,0,0
CCC(C)(C)N=C(NC#N)Nc1cccnc1,0.0,-1.35,0.2059,0,0
CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C,0.0,0.0351,0.509,0,0
OC(Cc1ccncc1)C(Cl)(Cl)Cl,1.0,-1.603,0.1676,0,0
O=C(NCCO[N+](=O)[O-])c1cccnc1,1.0,-1.943,0.1254,0,0
CCCSc1nc(C)cc(C)c1C(N)=O,0.0,-1.478,0.1858,0,0
Cc1cc(C)c(C#N)c(SCC(=O)C(C)(C)C)n1,0.0,2.516,0.925,1,1
CCOC(=O)CNC(=O)c1cccnc1,0.0,-1.45,0.19,0,0
CCC(C)C(NC(=O)NCc1ccccn1)C(=O)OC,0.0,-0.369,0.409,0,0
COC(=O)CSc1nc(C)cc(C(F)(F)F)c1C#N,0.0,2.018,0.883,1,1
CC(C)(C)NC(=O)COC(=O)c1cncc(Br)c1,0.0,-0.9824,0.2725,0,0
CCOC(=O)c1cncc(C(=O)O)c1,1.0,-1.849,0.136,0,0
CC(=O)Nc1ccc([N+](=O)[O-])cn1,0.0,-1.422,0.1943,0,0
N#Cc1cc([N+](=O)[O-])cnc1NCC(O)CO,0.0,-1.887,0.1316,0,0
CC(=O)NNc1cccc(Cl)n1,0.0,-0.705,0.3308,0,0
CN(NC(=O)NN)c1ncc(C(F)(F)F)cc1Cl,0.0,-1.469,0.1871,0,0
CCOC(=O)C(C(=O)N(C)C)c1ncc(C(F)(F)F)cc1Cl,0.0,-1.688,0.156,0,0
C=CCC(C(=O)OC)(C(=O)OC)c1ccc([N+](=O)[O-])cn1,0.0,-1.527,0.1783,0,0
COC(=O)C(C)(C(=O)OC)c1ccc([N+](=O)[O-])cn1,0.0,-1.604,0.1675,0,0
CCCCCCCCC(=O)NN=Cc1ccccn1,0.0,2.219,0.9023,1,1
Cc1cc(O)c(-c2cc(O)c(C)cc2O)cc1O,1.0,2.297,0.9087,1,1
O=[N+]([O-])c1cc(-c2ccc([As](=O)(O)O)cc2)ccc1[As](=O)(O)O,0.0,-1.37,0.2025,0,0
C[N+](C)([O-])Cc1cc(-c2ccccc2)ccc1O,0.0,-1.964,0.12305,0,0
NC(N)=Nc1ccc(-c2ccc(N=C(N)N)cc2)cc1,0.0,-1.807,0.141,0,0
O=C(O)C(Cc1ccccc1-c1ccccc1)C(=O)O,0.0,-1.651,0.1609,0,0
NS(=O)(=O)c1ccc(-c2ccc([As](=O)(O)O)cc2)cc1,0.0,-1.289,0.2161,0,0
CN(C)Cc1cc(C(C)(C)C)ccc1-c1ccc(C(C)(C)C)cc1CN(C)C,0.0,-1.257,0.2214,0,0
CN(C)Cc1ccc(C(C)(C)C)cc1-c1cc(C(C)(C)C)ccc1CN(C)C,0.0,-1.244,0.2238,0,0
NC(Cc1cccc(-c2ccccc2CP(=O)(O)O)c1)C(=O)O,0.0,-1.84,0.1371,0,0
NC(Cc1cc(CP(=O)(O)O)cc(-c2ccccc2Cl)c1)C(=O)O,0.0,-1.562,0.1735,0,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0,-1.333,0.2086,0,0
