Drug,y_true,logit,prob,pred_mcc,pred_prev
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,1.0,-0.2534,0.4368,0,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.0,-0.2922,0.4275,0,0
CC(C)NCC(O)COc1cccc2ccccc12,1.0,4.09,0.984,1,1
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0.0,-0.6445,0.344,0,0
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,0.0,0.151,0.5376,0,0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1.0,3.05,0.955,1,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.0,-1.186,0.234,0,0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0.0,-1.124,0.2452,0,0
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,1.13,0.756,0,0
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0.0,1.689,0.844,0,0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0.0,-1.932,0.1266,0,0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1.0,2.979,0.9517,1,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,0.0,1.431,0.807,0,0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0.0,2.75,0.9404,0,1
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0.0,-2.092,0.10986,0,0
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,1.0,3.129,0.958,1,1
N=C(N)NCC1COc2ccccc2O1,1.0,4.86,0.992,1,1
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,0.0,3.11,0.957,1,1
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1.0,-1.382,0.2007,0,0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,0.0,-0.702,0.3313,0,0
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,5.484,0.996,1,1
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0.0,-0.772,0.3162,0,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,2.951,0.9497,0,1
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,1.0,1.761,0.8535,0,0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.0,0.279,0.5693,0,0
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,0.0,-0.2374,0.441,0,0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0.0,0.3406,0.5845,0,0
O=C(NC1CCSC2CCCC(C(=O)O)N2C1=O)C(S)Cc1ccccc1,0.0,-0.602,0.3538,0,0
CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,0.0,-0.6914,0.3337,0,0
NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,0.0,-1.865,0.1342,0,0
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,0.0,3.895,0.98,1,1
