Drug,y_true,logit,prob,pred_mcc,pred_prev
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,1.0,0.71,0.67,1,1
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.0,0.07605,0.519,0,1
CC(C)NCC(O)COc1cccc2ccccc12,1.0,-0.405,0.4,0,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1.0,-0.2605,0.4353,0,0
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,1.0,-0.1659,0.4587,0,1
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1.0,0.2189,0.5547,0,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.0,-0.3904,0.4038,0,0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0.0,-0.2876,0.4287,0,0
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.0,-0.2368,0.441,0,0
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0.0,0.2246,0.556,0,1
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1.0,-0.6978,0.3323,0,0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0.0,0.6807,0.664,1,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,1.0,-0.05798,0.4858,0,1
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,1.0,1.587,0.8296,1,1
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0.0,-0.3357,0.417,0,0
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,1.0,0.804,0.691,1,1
N=C(N)NCC1COc2ccccc2O1,0.0,-0.8374,0.302,0,0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1.0,0.895,0.71,1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,1.0,-0.004116,0.499,0,1
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,1.185,0.766,1,1
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0.0,0.001588,0.5005,0,1
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,1.326,0.79,1,1
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,1.0,0.2786,0.5693,1,1
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,1.0,1.3955,0.8013,1,1
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,1.0,-0.4827,0.3816,0,0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1.0,0.6724,0.662,1,1
O=C(NC1CCSC2CCCC(C(=O)O)N2C1=O)C(S)Cc1ccccc1,0.0,-0.1841,0.4539,0,0
CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,1.0,0.4001,0.5986,1,1
NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,0.0,-0.2832,0.4294,0,0
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,1.0,1.104,0.751,1,1
