Drug,y_true,logit,prob,pred_mcc,pred_prev
O=C(O)CCCCCNC(=O)c1ccncc1,0.0,-2.463,0.0785,0,0
Cc1cc(C)nc(NC(=O)CCCC(=O)O)c1,0.0,-2.238,0.0964,0,0
CCCCC(=O)NC(Nc1cc(C)ccn1)(C(=O)OCC)C(F)(F)F,1.0,-1.747,0.1484,0,0
CCOC(=O)c1cccc(C(=O)OCC)n1,0.0,-2.56,0.0717,0,0
NNC(=O)Cc1cccnc1,1.0,-2.344,0.0875,0,0
Cc1ncc(CO)c(CN)c1O,0.0,-2.186,0.101,0,0
Cc1ncc(COP(=O)(O)O)c(C)c1O,0.0,-2.271,0.0935,0,0
CN(C)CCNc1ccccn1,0.0,-2.299,0.09125,0,0
CCN(CC(=O)O)C(=O)c1cccnc1,0.0,-2.424,0.08136,0,0
CCc1ccc(CCC(=O)O)nc1,0.0,-2.223,0.0977,0,0
CN(C)CCCc1cccnc1,0.0,-2.479,0.0774,0,0
CC(C)CNCCc1ccccn1,0.0,-2.1,0.10913,0,0
CC(C)C(=O)C(C)(C)CCc1ccccn1,0.0,0.10394,0.526,1,0
CN(C)CCC(C(=O)C(C)(C)C)c1ccccn1,0.0,-2.13,0.10614,0,0
N=C(N)SCCc1ccccn1,0.0,-2.182,0.10144,0,0
N=C(N)SCCc1ccncc1,0.0,-2.2,0.09985,0,0
O=C(O)C(O)Cc1ccccn1,0.0,-2.395,0.0836,0,0
C[N+](C)(C)CC(=O)NN=Cc1ccncc1,0.0,-2.693,0.06335,0,0
OCCCNCc1ccccn1,0.0,-2.318,0.08966,0,0
OCCCNCc1ccncc1,0.0,-2.244,0.0959,0,0
O=C(O)Cc1cccnc1,0.0,-2.254,0.09503,0,0
CN(C)Cc1ccc(O)c(CN(C)C)n1,0.0,-2.39,0.08386,0,0
CN(CCO)Cc1ncccc1O,0.0,-2.426,0.08124,0,0
NCCOc1ccccn1,0.0,-2.188,0.1009,0,0
CC(=O)CSCc1ccccn1,0.0,-2.033,0.1157,0,0
O=C(O)CSc1ncccc1[N+](=O)[O-],0.0,-2.838,0.05533,0,0
O=C(O)C=CC(=O)Nc1ccccn1,0.0,-2.21,0.09875,0,0
O=C(NCP(=O)(O)O)c1cccnc1,0.0,-2.54,0.0732,0,0
CN(C)CC(CN(C)C)c1ccccn1,0.0,-2.465,0.07837,0,0
O=C(O)c1ccncc1,0.0,-2.383,0.0845,0,0
OCc1ccncc1,0.0,-2.104,0.10876,0,0
CN(C)S(=O)(=O)Nc1ccccn1,0.0,-2.523,0.0742,0,0
NC([N-]N=Cc1ccccn1)=S=[Fe],0.0,-1.627,0.1642,0,0
CSC([N-]N=Cc1cccc(C)n1)=S=[Cu],1.0,-0.07794,0.4802,1,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0.0,-2.203,0.0994,0,0
O=C(O)c1cc(C(=O)O)nc(C(=O)O)c1,0.0,-3.26,0.037,0,0
CCOC(=O)CCCNC(=O)c1cncc(Br)c1,1.0,-2.03,0.11615,0,0
CCCCc1ccc(C(=O)O)nc1,0.0,-2.404,0.0828,0,0
Cc1ncc(CO)c(CO)c1O,0.0,-2.35,0.0871,0,0
CNCCc1ccccn1,0.0,-2.07,0.11206,0,0
O=C(O)Cc1cccnc1C(=O)O,0.0,-3.291,0.0359,0,0
Cc1ccnc(N)c1,0.0,-2.06,0.113,0,0
CNCCC=Cc1cccnc1,0.0,-2.264,0.0942,0,0
CCC(C)(C)N=C(NC#N)Nc1cccnc1,1.0,-2.041,0.1149,0,0
OC(Cc1ccncc1)C(Cl)(Cl)Cl,1.0,-2.254,0.09503,0,0
O=C(NCCO[N+](=O)[O-])c1cccnc1,0.0,-2.518,0.07465,0,0
CCCSc1nc(C)cc(C)c1C(N)=O,0.0,-2.25,0.0954,0,0
Cc1cc(C)c(C#N)c(SCC(=O)C(C)(C)C)n1,0.0,-0.0706,0.4822,1,0
CCOC(=O)CNC(=O)c1cccnc1,0.0,-2.268,0.0939,0,0
CCC(C)C(NC(=O)NCc1ccccn1)C(=O)OC,0.0,0.03497,0.509,1,0
COC(=O)CSc1nc(C)cc(C(F)(F)F)c1C#N,0.0,-0.7847,0.3132,1,0
CC(C)=CC(=O)OCC(=O)Nc1ncc(Cl)c(C)c1Cl,0.0,-0.612,0.3516,1,0
CCOC(=O)c1cncc(C(=O)O)c1,0.0,-3.33,0.03455,0,0
CC(=O)Nc1ccc([N+](=O)[O-])cn1,0.0,-2.166,0.1028,0,0
N#Cc1cc([N+](=O)[O-])cnc1NCC(O)CO,0.0,-2.152,0.1041,0,0
CC(=O)NNc1cccc(Cl)n1,0.0,-1.505,0.1816,0,0
CN(NC(=O)NN)c1ncc(C(F)(F)F)cc1Cl,1.0,-2.115,0.10767,0,0
C=CCC(C(=O)OC)(C(=O)OC)c1ccc([N+](=O)[O-])cn1,0.0,-2.29,0.09204,0,0
COC(=O)C(C)(C(=O)OC)c1ccc([N+](=O)[O-])cn1,0.0,-2.377,0.08496,0,0
CCCCCCCCC(=O)NN=Cc1ccccn1,0.0,0.483,0.618,1,1
CCOC(=O)C(=CNc1ncccc1C)C(=O)OCC,1.0,1.046,0.7397,1,1
CC(Oc1ccc(-c2ccccc2)cc1)C(=O)O,0.0,-2.645,0.06635,0,0
O=[N+]([O-])c1cc(-c2ccc([As](=O)(O)O)cc2)ccc1[As](=O)(O)O,0.0,-3.387,0.0327,0,0
C[N+](C)([O-])Cc1cc(-c2ccccc2)ccc1O,0.0,-1.622,0.1649,0,0
NC(N)=Nc1ccc(-c2ccc(N=C(N)N)cc2)cc1,0.0,-2.12,0.1073,0,0
O=C(O)C(Cc1ccccc1-c1ccccc1)C(=O)O,0.0,-3.295,0.03577,0,0
NS(=O)(=O)c1ccc(-c2ccc([As](=O)(O)O)cc2)cc1,0.0,-3.06,0.04477,0,0
CN(C)Cc1cc(C(C)(C)C)ccc1-c1ccc(C(C)(C)C)cc1CN(C)C,0.0,0.02563,0.5063,1,0
CN(C)Cc1ccc(C(C)(C)C)cc1-c1cc(C(C)(C)C)ccc1CN(C)C,0.0,0.06635,0.5166,1,0
Cc1cc(-c2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,0.0,0.5645,0.6377,1,1
NC(Cc1cccc(-c2ccccc2CP(=O)(O)O)c1)C(=O)O,0.0,-2.553,0.0722,0,0
NC(Cc1cc(CP(=O)(O)O)cc(-c2ccccc2Cl)c1)C(=O)O,0.0,-2.781,0.05835,0,0
NC(Cc1cc(-c2ccc(Cl)cc2Cl)cc(CP(=O)(O)O)c1O)C(=O)O,0.0,-3.361,0.03354,0,0
COC(=O)c1cc(OC)ccc1-c1ccc(OC)cc1,0.0,-0.4153,0.3975,1,0
O=C(O)c1ccccc1-c1ccccc1C(=O)NCCCO,0.0,-2.668,0.0649,0,0
CC(O)CNCc1ccc(-c2ccccc2)cc1,0.0,-1.99,0.1203,0,0
O=C(O)C=CC(=O)Nc1ccccc1-c1ccccc1,0.0,-2.355,0.0866,0,0
CCN(CC)S(=O)(=O)c1cccc2c(N(C)C)cccc12,0.0,-0.05612,0.4858,1,0
O=S(=O)(O)CCCc1cccc2ccccc12,0.0,-1.809,0.1409,0,0
O=C(O)CCCc1ccc2ccccc2c1,0.0,-2.82,0.05624,0,0
O=C(O)CCC(=O)Nc1ccc2ccccc2c1,0.0,-2.719,0.0619,0,0
Nc1c(OCC(=O)O)ccc2cc(S(=O)(=O)O)ccc12,0.0,-2.45,0.0795,0,0
CN(C)CC(O)c1ccc(Cl)c2ccccc12,0.0,-1.928,0.127,0,0
N=C(N)SCc1ccc(Cl)c2ccccc12,0.0,-1.658,0.16,0,0
Nc1cc(S(=O)(=O)O)cc2ccc(S(=O)(=O)O)cc12,0.0,-2.533,0.07355,0,0
O=C(O)c1cc2ccccc2c(S(=O)(=O)O)c1O,0.0,-2.54,0.0732,0,0
COc1ccc2cc(C(=O)CCC(=O)O)ccc2c1,0.0,-2.818,0.05634,0,0
