Drug,y_true,logit,prob,pred_mcc,pred_prev
O=C(NCCO[N+](=O)[O-])c1cccnc1,1.0,1.553,0.825,1,1
CCCc1cc(C(N)=S)ccn1,1.0,1.122,0.754,1,1
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,1.0,1.53,0.822,1,1
CNCCc1ccccn1,1.0,1.142,0.758,1,1
CC(C(=O)O)c1ccc(-c2cccc(F)c2)cc1,1.0,1.606,0.833,1,1
CC(C)NC(C)C(O)c1cccc2ccccc12,1.0,1.599,0.832,1,1
COc1ccc2c(C(=S)N(C)CC(=O)O)ccc(C(F)(F)F)c2c1,1.0,1.568,0.8276,1,1
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1.0,1.159,0.761,1,1
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1.0,1.391,0.801,1,1
CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,1.0,1.53,0.822,1,1
CC(Cc1ccc(O)cc1)NC(O)Cc1cc(O)cc(O)c1,1.0,1.297,0.785,1,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.0,1.464,0.812,1,1
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1.0,1.798,0.8574,1,1
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,1.898,0.87,1,1
CC(C)(Oc1ccc(CCNC(=O)c2ccccc2)cc1)C(=O)O,1.0,1.617,0.8345,1,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,1.0,0.6816,0.664,1,1
N=C(N)NCC1COc2ccccc2O1,1.0,1.768,0.854,1,1
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,1.0,1.578,0.829,1,1
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1.0,1.411,0.8037,1,1
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,1.0,1.137,0.7573,1,1
CCCCCC(=O)OC1(C(C)=O)CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC21C,1.0,1.095,0.749,1,1
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,1.971,0.8774,1,1
COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccccc1,1.0,0.11633,0.529,1,1
CN(C)CCN(c1ccc(Cl)cc1)c1ccccn1,1.0,1.374,0.7983,1,1
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,0.0,-3.232,0.03796,0,0
O=C1c2ccccc2C(=O)C1c1ccccc1,1.0,1.383,0.7993,1,1
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,1.0,1.315,0.788,1,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,1.0,0.508,0.6245,1,1
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,1.0,-3.287,0.036,0,0
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,1.0,1.305,0.7866,1,1
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,1.0,1.087,0.748,1,1
Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C,1.0,1.292,0.7847,1,1
CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,1.0,1.448,0.8096,1,1
CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,1.0,1.533,0.8223,1,1
CC1=NNC2=CN=C(c3ccccc3Cl)c3cc(Cl)ccc3N21,1.0,1.112,0.7524,1,1
CC(C(=O)O)c1ccc(C2CCCC(=NO)C2)cc1,1.0,1.787,0.856,1,1
C#CC1(O)CCC2C3CCC4CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,1.0,1.735,0.8496,1,1
Cc1nc(NCc2cccnc2)c(C#N)c(=O)[nH]1,1.0,1.21,0.7705,1,1
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,0.0,-2.758,0.05963,0,1
CCc1cccc2c1NC1C2CCOC1(CC(=O)O)CC(=O)O,1.0,1.38,0.799,1,1
