Drug,y_true,logit,prob,pred_mcc,pred_prev
CNCCc1ccccn1,0.0,-2.156,0.1037,0,0
Cc1ncc(CO)c(CO)c1O,0.0,-2.775,0.05865,0,0
Nc1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,1.0,-0.9155,0.286,1,1
CCN(CC)CCOC(=O)c1cccc(-c2ccccc2)c1O,0.0,-2.627,0.06744,0,0
CC(C)NCC(O)COc1cccc2ccccc12,0.0,-3.705,0.024,0,0
NCCCCCCNSc1cccc2c(Cl)cccc12,0.0,-2.441,0.0801,0,0
NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0.0,-2.596,0.0694,0,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1.0,-2.135,0.1058,0,0
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1.0,-2.043,0.1147,0,0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.0,-2.545,0.07275,0,0
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1.0,0.586,0.6426,1,1
CN(C)CCCOC1(Cc2ccccc2)CCCCC1,0.0,-1.554,0.1746,0,1
CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,0.0,0.2039,0.551,1,1
CN(C)CCC(c1ccccc1)C1CCCCC1,0.0,-0.144,0.4639,1,1
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,1.0,-2.836,0.05542,0,0
CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,0.0,-3.201,0.03912,0,0
COc1ccc(CCNC(C)C(O)c2ccc(O)c(NS(C)(=O)=O)c2)cc1,0.0,-1.722,0.1516,0,1
CCCCCCCC1OC(=O)CC(OCOC)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C1C,1.0,1.712,0.847,1,1
CC1COC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O,1.0,-2.52,0.0745,0,0
COCOC1CC(=O)OCC(C)C(=O)OC(C(C)C)C(=O)N(C)C1Cc1ccccc1,1.0,-1.904,0.1296,0,0
CCCCCCCC1OC(=O)CCC(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C1C,1.0,1.044,0.7397,1,1
CCCCCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C1C,1.0,1.454,0.8105,1,1
CCCCCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C)(C)OC(=O)C1C,1.0,0.1788,0.545,1,1
CCCCCCCC1OC(=O)CC(OCOC)C(Cc2ccccc2)N(C)C(=O)C(C)(C)OC(=O)C1C,1.0,1.781,0.856,1,1
CCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)COC(=O)C1C,1.0,-2.443,0.07996,0,0
