Drug,y_true,y_pred,error
N#Cc1ccc(C(F)(F)F)nc1OC(CCN)c1ccno1,-3.0203824,-0.2328,2.7875943
CC(C)NCC(O)COc1cccc2ccccc12,-0.22741596,-2.963,2.7354746
COc1cc2nc(-c3ccc(N4CCN(C)CC4)cc3)nc(NCCN3CCOCC3)c2cc1OC,-2.2923927,0.3826,2.674961
CC(O)C(NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO,0.46581194,-2.13,2.5966713
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,-3.8493145,-1.3955,2.4538066
CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C,-1.700776,0.4426,2.143403
Cc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,-2.1787488,-0.1004,2.078346
O=C(O)CNC(=O)c1ncccc1O,-0.8451041,-2.797,1.9517709
CN(C)CCN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)nc(=O)[nH]1,-1.5610608,0.1417,1.7027844
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)O)cc21,0.19172956,-1.349,1.5403624
CNc1nc2ccccc2n1Cc1sc2c(c1C(=O)N1CCC(O)C1)c(=O)n(C)c(=O)n2CC(C)C,-1.4253566,0.07654,1.5018947
CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,0.62758744,-0.8633,1.4908687
Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,-1.0456522,0.438,1.4836404
CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCCN(C)CC1,-1.3264195,-0.06885,1.2575718
CC(C(=O)OC1C[N+]2(CC(=O)Nc3ccccc3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.6102066,-0.4917,1.1019058
CS(=O)(=O)c1ccc2c(C(=O)NCC(O)CN3CCC(Oc4ccc(C#N)c(Cl)c4)CC3)c[nH]c(=O)c2c1,-1.4253566,-0.352,1.0733058
CC(C)c1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(OC3CN(C4CCS(=O)(=O)CC4)C3)n(C)c2n1,-0.7648848,0.3022,1.0671309
Cc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)cn(C)c1=O,-0.5643368,0.499,1.0633602
NC1=Nc2ccccc2Sc2cccc(F)c21,0.32542828,-0.6797,1.0051157
CC(Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1,-0.7909561,0.1987,0.98968655
CC1=NC(c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)N=C1N,0.27261728,-0.716,0.9884376
CC(C(=O)OC1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.67839295,-0.3093,0.9877191
NC(=O)c1c(OC2CCN(CC(O)CNC(=O)c3c[nH]c(=O)c4ccccc34)CC2)ccc(Cl)c1Cl,-0.7127423,0.2092,0.92197084
CCC(N)C(=O)NC(C#N)Cc1ccc(-c2ccccc2)cc1,0.16966927,-0.7046,0.8742591
CNC(C)C(=O)NC1CN(C(=O)CC(C)C)CCC2CCC(C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,-0.98682475,-0.1411,0.84571147
CC(=O)c1cc2ccc(O)cc2oc1=O,0.6055271,-0.1685,0.77398413
O=C(O)c1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,-0.4948134,0.2556,0.7504287
Cc1[nH]c(C(=O)NC2CCN(c3ncc(C(=O)O)s3)CC2)c(Cl)c1Cl,0.50926405,-0.2156,0.7248402
Cc1ccc(CCC[N+]23CCC(CC2)C(OC(=O)C(C)(c2ccccc2)N2CCCCC2)C3)cn1,-0.22741596,-0.9414,0.7139903
O=C(NCc1ccccc1Cl)c1cccnc1Oc1ccccc1,-0.1913173,0.511,0.7025478
CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)nc(OC(CO)CO)c2Cl)n[nH]1,-0.47208464,0.2065,0.6786276
N#Cc1ccc(OC2CCN(CC(O)CNC(=O)c3c[nH]c(=O)c4ccccc34)CC2)cc1Cl,-0.6124683,0.06537,0.67783695
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Cc3c[nH]c4ncccc34)sc21,-1.3919319,-0.7188,0.6731819
CNC(C)C(=O)NC(C(=O)NC1CCCN(CCCc2ccccc2)C1)C1CCCCC1,-1.5269676,-0.862,0.66515124
CN(C)CCC1CCN(c2cc(C(=O)NCC3CCC(CNC(=O)OC4CCOCC4)CC3)c3ccccc3n2)CC1,-0.4948134,0.147,0.6417861
CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cnccc4CN4CCCC4)n3)cc2)CC1,0.18103366,-0.4368,0.61780125
COc1ccc2ncc(F)c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1,-0.45002434,-1.046,0.5958741
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,0.22381724,-0.3462,0.57000864
CC(C(=O)OC1C[N+]2(CCOc3ccc(Cl)cc3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.6549957,0.1037,0.55129695
COc1cc2c(ccc(=O)n2CCN2CCC(NCc3cc4c(cn3)OCCO4)CC2)cn1,-0.40657225,-0.935,0.5284864
O=C(O)c1cn(Cc2ccccc2)c2cc(N3CCNCC3)c(F)cc2c1=O,-1.2936634,-0.8613,0.43233526
CC1CN(c2cc(N(CCO)Cc3cccc4ccccc34)[nH]c(=O)n2)CCO1,-0.36445716,0.067,0.43147376
O=C(O)Cc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,0.665023,0.2489,0.41612166
CN1CCCC1CCNC(=O)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.6509847,0.2954,0.35557455
Cc1cc(C)c(S(=O)(=O)NCc2ccncc2)c(C)c1,-0.22741596,0.1185,0.34594625
O=C(NCC(O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2cc(F)ccc12,0.63293535,0.291,0.34191972
O=C(O)COc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,0.6289244,0.2942,0.33473498
O=C(O)COc1ccc([N+](=O)[O-])cc1-c1ccccc1,0.6777244,0.354,0.3237205
COc1ccc(CC(C)(C)NCC(O)c2cc(O)cc3c2OCC(=O)N3)cc1,-2.028338,-1.712,0.3164239
Cc1nccn1-c1ccc(COc2cc(F)cc(C3(C(N)=O)CCOCC3)c2)cc1,0.030622585,0.3408,0.31019774
O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,0.57143396,0.2683,0.3031234
Cc1nc(CSc2nc(NC(C)CO)c3sc(=O)[nH]c3n2)cs1,0.6476422,0.3452,0.30242735
COc1cnc(-c2ccccn2)nc1N1CCCC1,0.26325837,-0.02823,0.29148713
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0.64162576,0.3733,0.26833475
CC(NC1=CC(=O)NCC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,0.513275,0.2544,0.2588805
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC(C)(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,0.24387206,0.4978,0.2539307
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,0.39294615,0.1399,0.25305358
CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(N)=N3)c2)c1,0.37155434,0.624,0.2524691
