Drug,y_true,y_pred,error
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,1.1481624,-0.04904,1.1972041
Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,0.71333295,-0.0619,0.7752226
CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,0.68326694,0.1776,0.50565463
CCC(C)C1NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)C2CCCN2C(=O)C(C)=O)C(C)OC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)CC1O,0.3187168,-0.1708,0.48949316
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,0.33863553,-0.0998,0.438428
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,0.34502456,-0.05185,0.39687392
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,0.066914134,0.416,0.34910148
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0.3427696,0.02675,0.31602094
CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1,-0.117240064,0.175,0.2922889
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(n3cnnn3)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,-0.13227306,0.1477,0.27997816
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1,0.06578666,-0.176,0.24181205
COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,0.16087036,-0.05972,0.22059326
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,0.055639386,-0.154,0.20969212
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,0.010540399,0.1815,0.17097816
Nc1cc(OCC2CC2)c(C(=O)NC2CN3CCC2CC3)cc1Cl,-0.034558587,0.1304,0.16492969
CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n(C4OC(CO)C(OC)C(O)C4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,0.15335386,-0.00768,0.16103284
N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)C(Cc1ccccc1)CN2Cc1cnc[nH]1,-0.149561,0.004124,0.15368469
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,-0.117240064,0.03287,0.1501075
CN(C)CCCNC(=O)C(=CCCCCC(=O)NO)COc1cccc2ccccc12,-0.16421817,-0.0374,0.12680362
CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3[nH+]c12,-0.16985555,-0.05716,0.112696126
Cc1c[nH]c2c(O)cc3c(c12)C(CCl)CN3C(=O)c1cc2cc(NC(=O)Nc3ccc4[nH]c(C(=O)N5CC(CCl)c6c5cc(O)c5[nH]cc(C)c65)cc4c3)ccc2[nH]1,-0.17925116,-0.0743,0.10497138
CCC(O)C(C)C1OC1CC(C)(O)C=CC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC(=O)N2CCN(C3CCCCCC3)CC2)C=CC1C,0.19845285,0.303,0.10452567
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,0.0030239006,-0.0965,0.09952048
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,-0.16872807,-0.0804,0.08834477
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,-0.0785301,0.00854,0.087067395
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1,-0.17323798,-0.0865,0.08675116
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,-0.13603131,-0.05084,0.08518903
O=C1c2ccccc2S(=O)(=O)N1CCCCNCC1CCc2ccccc2O1,-0.17323798,-0.0962,0.07704657
CC(NC(=Nc1ccncc1)NC#N)C(C)(C)C,-0.13978955,-0.07214,0.067646
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,-0.16421817,-0.09705,0.067172274
Cc1cccc(C(C)c2cnc[nH]2)c1C,-0.120998316,-0.05487,0.06612771
CCCn1c(=O)[n-]c(=O)c2nc[nH]c21,-0.15745333,-0.0919,0.06553438
Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,-0.12438074,-0.0599,0.06447473
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,-0.17624457,-0.1178,0.05844672
CC1=NC(=O)C(CCN(C(C)C)C(C)C)(c2ccccc2)C2CCCCN12,-0.15933245,-0.1043,0.055023372
