Drug,y_true,logit,prob,pred_mcc,pred_prev
CCNC(=NC#N)NCCSCc1ncccc1Br,0.0,1.654,0.8394,1,1
CN(C)CCc1ccccn1,1.0,0.9653,0.724,1,1
CNCCc1ccccn1,1.0,0.9595,0.723,1,1
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0.0,-0.412,0.3984,1,0
CCNCc1c(CSC)cnc(C)c1O,1.0,1.536,0.823,1,1
CC(C)NNC(=O)c1ccncc1,1.0,0.866,0.7036,1,1
CC(C)NCC(O)COc1cccc2ccccc12,1.0,1.945,0.875,1,1
CN=C(Cc1ccc2ccccc2c1)NC,1.0,1.256,0.7783,1,1
CC(Oc1cccc2ccccc12)C(N)=NO,1.0,1.258,0.779,1,1
Cc1cc(=O)oc2cc(O)ccc12,0.0,0.7075,0.67,1,1
CC(=O)OC1CCC2(C)C3CCC4(C)C(C(C)CCCC(C)C)CCC4C3CC(Br)C2C1Br,1.0,0.1544,0.5386,1,1
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,1.0,0.0678,0.517,1,0
CCOC1CC2(C)C(CCC3C4CCC(C(C)=O)C4(C)CC(N(C)C)C32)CC1O,1.0,0.1284,0.532,1,1
CN(C)CCC(c1ccccc1)C1CCCCC1,1.0,1.64,0.8374,1,1
CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O,1.0,0.8413,0.6987,1,1
C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,1.0,0.4456,0.6094,1,1
CCCC(CC)C1(CC)C(=O)NC(=O)NC1=O,1.0,0.5293,0.6294,1,1
C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,1.0,0.7856,0.687,1,1
C=CCC1(CC(C)(C)C)C(=O)NC(=O)NC1=O,1.0,0.6587,0.659,1,1
CN(C)c1cnccn1,1.0,0.3162,0.5786,1,1
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1.0,1.37,0.7974,1,1
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,1.803,0.8584,1,1
CNC(=O)CCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,1.586,0.8296,1,1
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,1.0,1.58,0.829,1,1
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,1.0,1.645,0.838,1,1
COc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1.0,1.913,0.8716,1,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,0.0,-1.994,0.1199,0,0
CCc1c(O)c(=O)ccn1CCO,0.0,0.9033,0.7114,1,1
CCc1c(O)c(=O)ccn1CCCCO,0.0,0.8276,0.696,1,1
CCn1ccc(=O)c(O)c1C,1.0,0.9404,0.719,1,1
CCCCn1ccc(=O)c(O)c1C,1.0,0.8384,0.698,1,1
CCCCCn1ccc(=O)c(O)c1C,1.0,0.8477,0.6997,1,1
Cc1c(O)c(=O)ccn1CCCO,0.0,0.8374,0.698,1,1
CCc1c(O)c(=O)ccn1CC,1.0,0.902,0.711,1,1
Clc1cccc(Cl)c1NC1=NCCN1,1.0,1.591,0.8306,1,1
Fc1cccc(Br)c1NC1=NCCN1,1.0,1.742,0.851,1,1
