Drug,y_true,logit,prob,pred_mcc,pred_prev
COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,1.0,0.07556,0.5186,1,1
O=C(NCCO[N+](=O)[O-])c1cccnc1,1.0,0.0688,0.517,1,1
CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,1.0,-0.1614,0.4597,1,0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1.0,0.11926,0.53,1,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,0.0,-0.00865,0.498,1,1
Clc1cccc(Cl)c1NC1=NCCN1,1.0,0.0499,0.5127,1,1
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0.0,0.0987,0.5244,1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,1.0,-0.1307,0.467,1,1
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,0.0,-0.3484,0.4136,0,0
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,-0.0004652,0.5,1,1
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,1.0,0.0844,0.521,1,1
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,0.0898,0.5225,1,1
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,1.0,0.08453,0.521,1,1
O=C1c2ccccc2C(=O)C1c1ccccc1,1.0,0.09204,0.523,1,1
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,1.0,0.09247,0.523,1,1
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,0.0,-0.6465,0.3435,0,0
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1,1.0,-0.3826,0.4058,0,0
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,1.0,0.1627,0.5405,1,1
CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,1.0,0.0851,0.5215,1,1
