Drug,y_true,y_pred,error
COc1ccc2ncc(F)c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1,1.7677559,-0.841,2.6085763
COc1ccnc(CSc2nc3ccccc3[nH]2)c1,2.0004961,-0.4438,2.4443438
CC(=O)c1cc2ccc(O)cc2oc1=O,2.0004961,-0.1848,2.1853106
O=C(NCc1cccnc1)c1cc(-c2ccco2)on1,2.0004961,-0.1405,2.140999
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,2.0004961,0.1384,1.8620684
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,-0.86010724,0.8286,1.6887205
CCN(CC)S(=O)(=O)c1ccc(-c2nnc(SCC(=O)N3CCc4ccccc43)o2)cc1,2.0004961,0.34,1.6604083
NC1(c2ccc(-c3nc4ccccn4c3-c3ccccc3)cc2)CCC1,2.0004961,0.5137,1.4868243
CCN(C(=O)c1ccc(-c2ccc(Cl)cc2)o1)c1ccc(N2CCNCC2)cc1,-0.86010724,0.6084,1.4685056
Nc1ccc2c(-c3ccncc3)c(-c3ccc(F)cc3)[nH]c2n1,1.3678552,-0.08057,1.4484216
CCn1c(SCC(=O)Nc2cccc(C)c2)nnc1-c1ccccc1,2.0004961,0.6465,1.3540118
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,2.0004961,0.6714,1.3291094
COc1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccccc2F)c(OC)c1,2.0004961,0.686,1.314461
Cc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2cccc3cccnc23)c(C)c1,2.0004961,0.7925,1.2080157
CCC(N)C(=O)NC(C#N)Cc1ccc(-c2ccccc2)cc1,0.8523628,-0.343,1.1953804
CC(NCc1ccccc1-c1ccc(CCNCC(O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,1.1831809,0.0144,1.1687843
NC1=Nc2ccccc2Sc2cccc(F)c21,-0.66200554,0.3916,1.0536071
NC1=Nc2ccccc2Sc2ccccc21,-0.7639754,0.2247,0.9887068
CC1CNC(Nc2c(Cl)cccc2Cl)=N1,-0.86010724,0.10504,0.96514875
COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,-0.86010724,0.003824,0.8639315
Nc1ccc(-c2ccccc2Cl)cc1,1.4756631,0.6294,0.84626853
Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3noc(-c4ccc(F)cc4)n3)(CC1)CC2,-0.7639754,0.0778,0.8417952
CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC21CCC(=O)O1,-0.78985703,0.04483,0.83468735
NC1(c2ccc(-c3ncc4nccn4c3-c3ccccc3)cc2)CCC1,-0.86010724,-0.04547,0.81463605
CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,-0.6028475,0.2054,0.80829185
CC(C(=O)OC1C[N+]2(CCOc3ccc(Cl)cc3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.24910633,1.007,0.7577296
Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,-0.7098769,0.04526,0.75513446
O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCc2ccccc2C1,-0.008347967,0.7075,0.7158675
CCN(CC)CCn1c2ccccc2c2cnc(N)c(C#N)c21,0.5799244,-0.1177,0.6976002
NC(=O)c1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c1,-0.8460961,-0.1823,0.6638451
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,-0.7433479,-0.08044,0.66290355
CCCC(=O)Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1,0.65776396,-0.0002856,0.6580496
CC(CCc1ccc(-c2ccc(Cl)cc2)cc1)(C(=O)NO)S(C)(=O)=O,-0.86010724,-0.2031,0.65698224
CCNC(=O)c1ccc(C)c(-n2cnc3ccc(N4CCN(C)CC4)cc3c2=O)c1,-0.86010724,-0.2095,0.6506346
CC(C)c1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(OC3CN(C4CCS(=O)(=O)CC4)C3)n(C)c2n1,-0.72388804,-0.1074,0.61646616
Cc1nnc(C)c2cc(N3CCN(C(=O)C4CCCCC4C(=O)NC4(C#N)CC4)C(C)C3)ccc12,-0.86010724,-0.2654,0.5947264
N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,-0.86010724,-0.292,0.56811506
O=C(O)COc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,-0.86010724,-0.3145,0.5456541
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1,-0.86010724,-0.3171,0.5429686
O=C(O)CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,-0.7801271,-0.2375,0.5425783
N#Cc1cccc(-c2cc(Cl)ccc2OCC(=O)O)c1,-0.82118744,-0.2898,0.5313925
COc1ccc(CC(C)(C)NCC(O)c2cc(O)cc3c2OCC(=O)N3)cc1,-0.6460485,-0.1581,0.48796743
O=C(O)CC1CCC(c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,-0.6950874,-0.2112,0.48390573
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,-0.8423987,-0.3591,0.48326784
O=C(O)COc1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,-0.86010724,-0.3904,0.46972638
CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1,-0.78382444,-0.3145,0.46937132
O=C(O)Cc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,-0.86010724,-0.3928,0.46728498
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1,-0.86010724,-0.3975,0.4626463
O=C(NC(Cc1ccc(Cl)cc1)C(=O)N1CCC(Cn2cncn2)(C2CCCCC2)CC1)C1Cc2ccccc2CN1,-0.12569109,-0.58,0.45438704
O=C(O)Cc1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,-0.86010724,-0.4155,0.4445799
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,-0.83597696,-0.3938,0.44217813
Cc1nc(CSc2nc(NC(C)CO)c3sc(=O)[nH]c3n2)cs1,-0.85426927,-0.4167,0.43752122
CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,-0.82741463,-0.431,0.39650643
O=c1[nH]c2c(O)ccc(C(O)CNCCc3cccc(CNCCc4ccccn4)c3)c2s1,-0.86010724,-0.473,0.38720685
N#Cc1cccc(-c2cccc(C(=O)O)c2)c1,-0.760278,-0.3735,0.38674283
O=C(O)c1cc2cc(OCc3ccccc3)ccc2[nH]1,-0.41836777,-0.03238,0.38598862
COc1ccc(C#Cc2ccc(C3C(CO)N4CCCCN(C(=O)Nc5cccc(F)c5)CC34)cc2)cc1,-0.5643169,-0.1787,0.385606
COc1ccncc1-c1ccccc1CN(C(=O)c1ccc(-c2ccc(C#N)cc2)o1)c1ccc(N2CCNCC2)cc1,-0.41836777,-0.04007,0.3782982
Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,-0.02333208,0.3516,0.3748946
Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC(C)C(C)(C)C)c(C)nn2C2CCOC2)cc1,-0.86010724,-0.4888,0.3713377
CCOc1ccc2ccc(=O)oc2c1,-0.22805008,0.1403,0.36830887
O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl,-0.6265886,-0.27,0.35656905
COc1cc2c(ccc(=O)n2CCN2CCC(NCc3cc4c(cn3)OCCO4)CC2)cn1,-0.22805008,-0.5723,0.34421554
O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,-0.7433479,-0.4038,0.3395393
Cc1ccc(S(=O)(=O)N2N=Cc3ccccc3B2O)cc1,-0.79841936,-0.4614,0.33699358
N#CC1(NC(=O)C2CCCCC2C(=O)N2CCN(c3nc4ccncc4s3)CC2)CC1,-0.78985703,-0.4553,0.33453476
Cn1sc(=O)c2cc(S(N)(=O)=O)ccc21,-0.58027405,-0.3037,0.2765631
Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC(C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,-0.7628078,-0.514,0.24864763
CNC(=O)Cc1ccc2c(=O)cc(-c3cccnc3)[nH]c2c1,-0.86010724,-0.6216,0.23852521
CC(O)C(NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO,-0.16149728,-0.398,0.23645194
CCOc1ccc(-n2c(C(C)N(Cc3cccnc3)C(=O)Cc3ccc(C(F)(F)F)cc3)nc3ccccc3c2=O)cc1,-0.07470618,0.1153,0.19000159
CC(C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,-0.51196986,-0.3262,0.18579799
CC(C(=O)OC1C[N+]2(CC(=O)Nc3cccc(F)c3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.38532555,0.209,0.17634118
Nc1cc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)cc(C(F)(F)F)c1,-0.46234712,-0.287,0.17523775
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N,-0.5302621,-0.7007,0.17042148
CC(C(=O)OC1C[N+]2(CC(=O)Nc3ccccc3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.3269459,0.4636,0.13667715
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C2COCCN2)c1,-0.41252983,-0.535,0.122626424
Nc1ncnc2c1ncn2C1OC(CSCCCNC(=O)NCc2ccccc2)C(O)C1O,-0.6372915,-0.52,0.11727196
CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,-0.54777604,-0.457,0.09074479
CNC(C)C(=O)NC1CN(C(=O)CC(C)C)CCC2CCC(C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,-0.588058,-0.669,0.08088732
O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(O)cc(C(F)(F)F)c1,-0.34422562,-0.3015,0.042711943
N#Cc1ccc(OC2CCN(CC(O)CNC(=O)c3c[nH]c(=O)c4ccccc34)CC2)cc1Cl,-0.86010724,-0.882,0.021728694
Cc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,-0.0038721922,0.01041,0.014278687
