Drug,y_true,y_pred,error
CCCC(=O)Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1,2.554156,-0.09717,2.651324
CCSc1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,2.1997085,-0.3252,2.5249038
CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,2.554156,0.2296,2.3245418
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,1.8946619,-0.05963,1.9542933
CN(C)S(=O)(=O)c1ccc2c(C(=O)NCC(O)CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)c[nH]c(=O)c2c1,1.1363654,-0.639,1.7755256
COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,0.19486392,1.867,1.6723236
CC(NCc1ccccc1-c1ccc(CCNCC(O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,1.5461955,-0.0957,1.6418986
CCN(CC)S(=O)(=O)c1ccc(-c2nnc(SCC(=O)N3CCc4ccccc43)o2)cc1,2.554156,0.9185,1.635699
CCn1c(SCC(=O)Nc2cccc(C)c2)nnc1-c1ccccc1,2.554156,0.9233,1.6308162
CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1,-0.552356,0.9585,1.5108521
CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,1.2057043,-0.2236,1.4293371
COc1ccnc(CSc2nc3ccccc3[nH]2)c1,1.1363654,-0.1991,1.3354621
N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13,1.7748142,0.4485,1.3263279
COc1ccncc1-c1ccccc1CN(C(=O)c1ccc(-c2ccc(C#N)cc2)o1)c1ccc(N2CCNCC2)cc1,0.4485155,1.7,1.2516798
Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,-0.70233166,0.5312,1.2335817
CCN(CC)CCn1c2ccccc2c2cnc(N)c(C#N)c21,0.80407083,-0.3281,1.1321958
CCOc1ccc(-n2c(C(C)N(Cc3cccnc3)C(=O)Cc3ccc(C(F)(F)F)cc3)nc3ccccc3c2=O)cc1,-0.39152542,0.7095,1.100998
Cc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,-0.52510786,0.5156,1.0407329
Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1,-0.61371976,0.3958,1.0094717
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N,0.3674356,-0.527,0.89429104
Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3noc(-c4ccc(F)cc4)n3)(CC1)CC2,-0.70233166,0.1289,0.8312379
Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,-0.70233166,0.1225,0.8248292
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,-0.65802574,0.1595,0.81757164
CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,-0.65802574,0.05905,0.71707726
Nc1ccc(OCC(=O)O)c(-c2ccccc2)c1,-0.70233166,-0.06067,0.6416627
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(N)=O)c(C)c1,-0.70233166,-0.0627,0.63964856
O=C(O)COc1ccc([N+](=O)[O-])cc1-c1ccccc1,-0.70233166,-0.0954,0.6069337
Cc1ccc2c(c1)C1(CCN(CCc3nc(-c4ccccc4)oc3C)CC1)OC(=O)N2,0.9908204,1.595,0.60390615
Cc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2cccc3cccnc23)c(C)c1,2.554156,1.955,0.59907794
N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O,0.3167053,-0.2744,0.59111935
CC(C(=O)OC1C[N+]2(CC(=O)Nc3ccccc3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.604694,0.02869,0.5760075
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,-0.70233166,-0.189,0.5133668
Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,-0.4486801,0.05936,0.5080368
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C2COCCN2)c1,0.52715856,0.03687,0.49029332
O=C(O)c1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,-0.70233166,-0.2267,0.4756471
Cc1ccc(C(=O)NC(C)C)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,-0.70233166,-0.2534,0.4489137
O=C(O)COc1ccc(Br)cc1-c1ccccc1,-0.70233166,-0.259,0.44329846
