Drug,y_true,logit,prob,pred_mcc,pred_prev
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,0.0,0.678,0.663,0,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0,0.7856,0.687,1,1
CC(C)NCC(O)COc1cccc2ccccc12,0.0,0.7085,0.67,0,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0.0,0.585,0.6426,0,0
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,0.0,0.5566,0.6357,0,0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1.0,0.3965,0.5977,0,0
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.0,0.6616,0.6597,0,0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0.0,0.6304,0.653,0,0
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.0,0.4824,0.618,0,0
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0.0,0.4238,0.6045,0,0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0.0,0.5967,0.645,0,0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0.0,0.4993,0.622,0,0
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,0.0,0.5513,0.6343,0,0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0.0,0.4722,0.616,0,0
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0.0,0.9966,0.7305,1,1
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,1.0,0.5645,0.6377,0,0
N=C(N)NCC1COc2ccccc2O1,0.0,0.183,0.5454,0,0
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,0.0,0.567,0.638,0,0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0.0,0.4224,0.604,0,0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,0.0,0.4565,0.6123,0,0
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,0.588,0.6426,0,0
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0.0,0.625,0.6514,0,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,0.597,0.645,0,0
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,0.0,0.6724,0.662,0,0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.0,0.3674,0.591,0,0
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,0.0,0.656,0.658,0,0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0.0,0.728,0.675,0,1
O=C(NC1CCSC2CCCC(C(=O)O)N2C1=O)C(S)Cc1ccccc1,0.0,0.718,0.672,0,0
CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,0.0,0.553,0.635,0,0
NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,0.0,0.917,0.7144,1,1
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,0.0,0.6685,0.661,0,0
