Drug,y_true,logit,prob,pred_mcc,pred_prev
Cc1cc(C)nc(NC(=O)CCCC(=O)O)c1,0.0,-1.958,0.12366,0,0
CCCCC(=O)NC(Nc1cc(C)ccn1)(C(=O)OCC)C(F)(F)F,1.0,2.277,0.907,1,1
CCOC(=O)c1cccc(C(=O)OCC)n1,0.0,-1.396,0.1985,0,0
Cc1ncc(CO)c(CN)c1O,0.0,-2.43,0.08093,0,0
Cc1ncc(COP(=O)(O)O)c(C)c1O,0.0,-1.896,0.1305,0,0
CN(C)CCNc1ccccn1,0.0,-2.008,0.1184,0,0
CCN(CC(=O)O)C(=O)c1cccnc1,0.0,-2.049,0.1142,0,0
CCc1ccc(CCC(=O)O)nc1,0.0,-1.803,0.1415,0,0
CN(C)CCCc1cccnc1,0.0,-2.156,0.1037,0,0
CC(C)CNCCc1ccccn1,0.0,-1.979,0.12146,0,0
CC(C)C(=O)C(C)(C)CCc1ccccn1,0.0,-0.1048,0.474,0,0
CN(C)CCC(C(=O)C(C)(C)C)c1ccccn1,0.0,-2.16,0.1034,0,0
N=C(N)SCCc1ccccn1,0.0,-2.72,0.06177,0,0
N=C(N)SCCc1ccncc1,0.0,-2.688,0.0637,0,0
O=C(O)C(O)Cc1ccccn1,0.0,-2.137,0.1056,0,0
C[N+](C)(C)CC(=O)NN=Cc1ccncc1,0.0,-2.2,0.09985,0,0
OCCCNCc1ccccn1,0.0,-1.928,0.127,0,0
OCCCNCc1ccncc1,0.0,-1.955,0.124,0,0
O=C(O)Cc1cccnc1,0.0,-2.084,0.11066,0,0
CN(C)Cc1ccc(O)c(CN(C)C)n1,0.0,-2.197,0.1,0,0
CN(CCO)Cc1ncccc1O,0.0,-2.17,0.1025,0,0
NCCOc1ccccn1,0.0,-1.732,0.1503,0,0
CC(=O)CSCc1ccccn1,0.0,-1.482,0.185,0,0
O=C(O)CSc1ncccc1[N+](=O)[O-],0.0,-1.725,0.1512,0,0
O=C(O)C=CC(=O)Nc1ccccn1,0.0,-2.117,0.1075,0,0
O=C(NCP(=O)(O)O)c1cccnc1,0.0,-1.992,0.12006,0,0
CN(C)CC(CN(C)C)c1ccccn1,0.0,-2.137,0.1056,0,0
O=C(O)c1ccncc1,0.0,-2.068,0.1123,0,0
OCc1ccncc1,1.0,-1.81,0.1406,0,0
CN(C)S(=O)(=O)Nc1ccccn1,0.0,-1.825,0.1388,0,0
NC([N-]N=Cc1ccccn1)=S=[Fe],0.0,-1.972,0.12213,0,0
CSC([N-]N=Cc1cccc(C)n1)=S=[Cu],1.0,-1.067,0.2559,0,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0.0,-2.266,0.094,0,0
O=C(O)c1cc(C(=O)O)nc(C(=O)O)c1,0.0,-1.975,0.1219,0,0
CCOC(=O)CCCNC(=O)c1cncc(Br)c1,0.0,-0.9277,0.2834,0,0
Cc1ncc(CO)c(CO)c1O,0.0,-2.092,0.10986,0,0
CNCCc1ccccn1,0.0,-2.06,0.113,0,0
O=C(O)Cc1cccnc1C(=O)O,0.0,-1.979,0.12146,0,0
CC(=O)OCCNC(=O)c1cccnc1,0.0,-1.603,0.1676,0,0
Cc1ccnc(N)c1,0.0,-1.936,0.1261,0,0
CCC(C)(C)N=C(NC#N)Nc1cccnc1,0.0,-1.523,0.179,0,0
CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C,0.0,-1.494,0.1832,0,0
OC(Cc1ccncc1)C(Cl)(Cl)Cl,1.0,-1.424,0.1941,0,0
O=C(NCCO[N+](=O)[O-])c1cccnc1,1.0,-1.742,0.149,0,0
CCCSc1nc(C)cc(C)c1C(N)=O,0.0,-1.157,0.2393,0,0
Cc1cc(C)c(C#N)c(SCC(=O)C(C)(C)C)n1,0.0,2.172,0.8975,1,1
CCOC(=O)CNC(=O)c1cccnc1,0.0,-1.617,0.1656,0,0
CCC(C)C(NC(=O)NCc1ccccn1)C(=O)OC,0.0,-1.622,0.1649,0,0
COC(=O)CSc1nc(C)cc(C(F)(F)F)c1C#N,0.0,1.594,0.831,1,1
CC(C)(C)NC(=O)COC(=O)c1cncc(Br)c1,0.0,-1.114,0.2471,0,0
CCOC(=O)c1cncc(C(=O)O)c1,1.0,-1.837,0.1375,0,0
CC(=O)Nc1ccc([N+](=O)[O-])cn1,0.0,-1.669,0.1586,0,0
N#Cc1cc([N+](=O)[O-])cnc1NCC(O)CO,0.0,-1.598,0.1683,0,0
CC(=O)NNc1cccc(Cl)n1,0.0,-1.579,0.1709,0,0
CN(NC(=O)NN)c1ncc(C(F)(F)F)cc1Cl,0.0,-1.359,0.2043,0,0
CCOC(=O)C(C(=O)N(C)C)c1ncc(C(F)(F)F)cc1Cl,0.0,0.1285,0.532,0,0
C=CCC(C(=O)OC)(C(=O)OC)c1ccc([N+](=O)[O-])cn1,0.0,-1.918,0.128,0,0
COC(=O)C(C)(C(=O)OC)c1ccc([N+](=O)[O-])cn1,0.0,-2.098,0.1093,0,0
CCCCCCCCC(=O)NN=Cc1ccccn1,0.0,-0.4856,0.3809,0,0
Cc1cc(O)c(-c2cc(O)c(C)cc2O)cc1O,1.0,1.829,0.862,1,1
O=[N+]([O-])c1cc(-c2ccc([As](=O)(O)O)cc2)ccc1[As](=O)(O)O,0.0,-1.214,0.229,0,0
C[N+](C)([O-])Cc1cc(-c2ccccc2)ccc1O,0.0,-2.318,0.08966,0,0
NC(N)=Nc1ccc(-c2ccc(N=C(N)N)cc2)cc1,0.0,-2.398,0.08325,0,0
O=C(O)C(Cc1ccccc1-c1ccccc1)C(=O)O,0.0,-1.347,0.2064,0,0
NS(=O)(=O)c1ccc(-c2ccc([As](=O)(O)O)cc2)cc1,0.0,-1.248,0.223,0,0
CN(C)Cc1cc(C(C)(C)C)ccc1-c1ccc(C(C)(C)C)cc1CN(C)C,0.0,-1.406,0.1968,0,0
CN(C)Cc1ccc(C(C)(C)C)cc1-c1cc(C(C)(C)C)ccc1CN(C)C,0.0,-1.394,0.1989,0,0
NC(Cc1cccc(-c2ccccc2CP(=O)(O)O)c1)C(=O)O,0.0,-1.902,0.1298,0,0
NC(Cc1cc(CP(=O)(O)O)cc(-c2ccccc2Cl)c1)C(=O)O,0.0,-1.948,0.12476,0,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0,-0.825,0.3047,0,0
O=C(O)c1ccccc1-c1ccccc1C(=O)NCCCO,0.0,-0.7876,0.3127,0,0
CC(O)CNCc1ccc(-c2ccccc2)cc1,0.0,-1.821,0.1393,0,0
O=C(O)C=CC(=O)Nc1ccccc1-c1ccccc1,1.0,-0.851,0.2993,0,0
C=CCNS(=O)(=O)c1cccc2cc(C(=O)O)c(O)cc12,1.0,-1.409,0.1963,0,0
O=S(=O)(O)CCCc1cccc2ccccc12,0.0,-1.292,0.2155,0,0
O=C(O)CCCc1ccc2ccccc2c1,0.0,-1.614,0.166,0,0
O=C(O)CCC(=O)Nc1ccc2ccccc2c1,0.0,-1.869,0.1337,0,0
Nc1c(OCC(=O)O)ccc2cc(S(=O)(=O)O)ccc12,0.0,-1.76,0.1467,0,0
CN(C)CC(O)c1ccc(Cl)c2ccccc12,0.0,-1.849,0.136,0,0
COc1ccc(C(=O)CCN(C)C)c2ccccc12,1.0,-1.927,0.1271,0,0
N=C(N)SCc1ccc(Cl)c2ccccc12,0.0,-2.805,0.0571,0,0
O=C(O)c1cc2ccccc2c(S(=O)(=O)O)c1O,0.0,-1.557,0.1742,0,0
COc1ccc2cc(C(=O)CCC(=O)O)ccc2c1,0.0,-1.228,0.2266,0,0
C[N+](C)(C)CC(=O)NN=Cc1c(O)ccc2ccccc12,0.0,-2.22,0.09796,0,0
O=C(O)c1ccc(C(=O)O)c2c(C(=O)O)ccc(C(=O)O)c12,0.0,-1.876,0.1328,0,0
CC(C)CC(N)C(=O)Nc1ccc2ccccc2c1,0.0,0.7456,0.678,0,0
O=C(O)CSCc1cccc2ccccc12,0.0,-1.38,0.2009,0,0
COc1cc2ccc(C(C)NCC#N)cc2cc1OC,0.0,-1.777,0.1447,0,0
O=C(O)Cc1c(O)ccc2ccccc12,0.0,-1.72,0.152,0,0
CC(=O)CC(=O)Nc1ccc2ccccc2c1,0.0,-1.007,0.2676,0,0
N#Cc1c(NC(=O)CCC(=O)O)ccc2ccccc12,0.0,-1.047,0.2598,0,0
COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.0,-1.493,0.1835,0,0
NCCCCNS(=O)(=O)c1ccc2c(Cl)cccc2c1,1.0,-1.661,0.1595,0,0
NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,1.0,-1.596,0.1686,0,0
NCCCCCCNS(=O)(=O)c1ccc2c(Cl)cccc2c1,1.0,-1.603,0.1676,0,0
NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,1.0,-1.602,0.1677,0,0
CCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0.0,0.11475,0.529,0,0
CC(C)NCC(O)COc1cccc2ccccc12,0.0,-1.971,0.1224,0,0
OCC(O)COc1cccc2ccccc12,0.0,-1.277,0.218,0,0
O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,0.0,-1.663,0.1593,0,0
COC(=O)CCC(=O)Nc1cccc2ccccc12,0.0,-1.042,0.2607,0,0
CC(C)Oc1ccc2ccccc2c1C=O,1.0,0.7544,0.68,0,0
CCCCOC(OCCCC)C(O)CSc1ccc2ccccc2c1,1.0,0.6934,0.6665,0,0
CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,1.0,0.2285,0.5566,0,0
[CH2-]C(Cc1cccc2cc(C(=O)O)c(=O)oc12)OC,0.0,-1.316,0.2114,0,0
Cc1cc(=O)oc2c(OS(C)(=O)=O)c(OS(C)(=O)=O)ccc12,0.0,-1.067,0.2559,0,0
Cc1cc(=O)oc2cc(O)c(CN(C)CC(=O)O)cc12,0.0,-2.49,0.07654,0,0
O=c1ccc2ccc(O)c(O)c2o1,0.0,-1.161,0.2384,0,0
O=Nc1ccc2oc(=O)ccc2c1,0.0,-1.1455,0.2413,0,0
COc1cc2ccc(=O)oc2cc1O,0.0,-1.162,0.2384,0,0
O=c1ccc2cc(O)c(O)cc2o1,0.0,-1.159,0.2388,0,0
CC(=O)Nc1cc2ccccc2oc1=O,0.0,-1.292,0.2155,0,0
CC(=O)c1cc2ccccc2oc1=O,0.0,-0.8574,0.2979,0,0
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,0.0,-1.343,0.2072,0,0
CC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1,1.0,-0.2764,0.4314,0,0
CC(=O)Nc1c(NC(C)C)c2ccccc2oc1=O,0.0,-0.1097,0.4724,0,0
Cc1cc(=O)oc2cc(NC(=O)CCC(=O)O)ccc12,0.0,-1.859,0.1348,0,0
CC(=O)Nc1c(NCC(C)C)c2ccccc2oc1=O,0.0,1.625,0.8354,1,1
COc1ccccc1-c1ccc2ncnc(NCc3ccccc3)c2c1,1.0,0.9067,0.712,0,0
CN(C)C(=O)c1ccc(-c2ccc3ncnc(NCc4ccccc4)c3c2)cc1,0.0,1.565,0.827,1,1
COc1ccccc1CNc1ncnc2ccc(-c3cccc(C#N)c3)cc12,0.0,1.094,0.749,1,0
CN(C)c1ccc(-c2ccc3ncnc(NCc4ccccc4)c3c2)cc1,0.0,-1.59,0.1694,0,0
COc1cccc(-c2ccc3ncnc(NCc4ccccc4)c3c2)c1,1.0,1.283,0.7827,1,0
COc1cccc(-c2ccc3ncnc(NCc4ccccc4OC)c3c2)c1,1.0,0.7207,0.673,0,0
Cc1cccc(CNc2ncnc3ccc(-c4ccccc4CN(C)C)cc23)c1,0.0,-1.776,0.1448,0,0
COc1ccc(CNc2ncnc3ccc(-c4ccccc4OC)cc23)c(OC)c1,1.0,0.441,0.6084,0,0
COc1ccc(CNc2ncnc3ccc(-c4ccc(C(=O)N(C)C)cc4)cc23)c(OC)c1,0.0,1.358,0.7954,1,1
N#Cc1ccccc1-c1ccc2ncnc(NCc3ccccc3)c2c1,1.0,0.854,0.701,0,0
CN(C)Cc1ccccc1-c1ccc2ncnc(NCc3ccccc3)c2c1,0.0,-1.884,0.132,0,0
COc1ccccc1CNc1ncnc2ccc(-c3ccccc3CN(C)C)cc12,0.0,-1.727,0.151,0,0
COc1ccc(CNc2ncnc3ccc(-c4cccc(NS(C)(=O)=O)c4)cc23)c(OC)c1,1.0,2.83,0.945,1,1
COc1ccccc1CNc1ncnc2ccc(-c3ccc(C(=O)N(C)C)cc3)cc12,0.0,2.041,0.8853,1,1
COc1ccccc1CNc1ncnc2ccc(-c3ccccc3OC)cc12,1.0,0.9277,0.717,0,0
COCCn1c(C(=O)N2CCCC2)cc2c1CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)(C(=O)OC)C21,1.0,3.297,0.9644,1,1
COC(=O)C1(Cc2ccc(OC)cc2)C2c3cc(C(=O)N4CCCC4)n(CCF)c3CC2CN1C(=O)c1ccccc1,1.0,3.768,0.977,1,1
COC(=O)C1(Cc2ccc(OC)cc2)C2c3cc(C(=O)N4CCCC4)n(CCO)c3CC2CN1C(=O)c1ccccc1,1.0,2.906,0.948,1,1
COC(=O)C1(Cc2ccccc2)C2c3cc(C(=O)N4CCCC4)n(CCSCCO)c3CC2CN1C(=O)c1ccccc1,1.0,3.352,0.966,1,1
COC(=O)C1(Cc2ccc(OC)cc2)C2c3cc(C(=O)N4CCCC4)n(CCSCCO)c3CC2CN1C(=O)c1ccccc1,1.0,3.209,0.9614,1,1
COC(=O)C1(Cc2ccc(F)cc2)C2c3cc(C(=O)N4CCCC4)n(CCSCCO)c3CC2CN1C(=O)c1ccccc1,1.0,3.441,0.9688,1,1
COC(=O)C1(Cc2ccc(F)cc2)C2c3cc(C(=O)N4CCCC4)n(CC(O)CO)c3CC2CN1C(=O)c1ccccc1,1.0,3.062,0.955,1,1
COC(=O)C1(Cc2ccccc2)C2c3cc(C(=O)N4CCCC4)[nH]c3CC2CN1C(=O)c1ccccc1,1.0,3.209,0.9614,1,1
COC(=O)C1(Cc2ccccc2)C2c3cc(C(=O)N4CCCC4)n(C)c3CC2CN1C(=O)c1ccccc1,1.0,2.984,0.9517,1,1
COC(=O)Cn1c(C(=O)N2CCCC2)cc2c1CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)(C(=O)OC)C21,1.0,2.828,0.944,1,1
COC(=O)C1(Cc2ccccc2)C2c3cc(C(=O)N4CCCC4)n(CCO)c3CC2CN1C(=O)c1ccccc1,1.0,3.012,0.9536,1,1
COCCn1c(C(=O)N2CCCC2)cc2c1CC1CN(C(=O)c3ccccc3)C(Cc3ccc(F)cc3)(C(=O)OC)C21,1.0,3.482,0.9707,1,1
COC(=O)C1(Cc2ccc(F)cc2)C2c3cc(C(=O)N4CCCC4)n(CCF)c3CC2CN1C(=O)c1ccccc1,1.0,3.668,0.975,1,1
COC(=O)C1(Cc2ccc(F)cc2)C2c3cc(C(=O)N4CCCC4)n(CCO)c3CC2CN1C(=O)c1ccccc1,1.0,3.16,0.9595,1,1
COC(=O)Cn1c(C(=O)N2CCCC2)cc2c1CC1CN(C(=O)c3ccccc3)C(Cc3ccc(F)cc3)(C(=O)OC)C21,1.0,3.059,0.955,1,1
CS(=O)(=O)N1CCC2(CCCN(C(=O)Nc3ccccc3)C2)CC1,0.0,-1.709,0.1533,0,0
COC(=O)N1CCC2(CCCN(C(=O)Nc3ccccc3)C2)CC1,0.0,-1.549,0.1752,0,0
COc1ccc(NC(=O)N2CCCC3(CCN(C(C)=O)CC3)C2)cc1,0.0,-1.485,0.1846,0,0
O=C(Nc1cccc(F)c1)N1CCCC2(CCNCC2)C1,0.0,-1.926,0.1272,0,0
CC(=O)N1CCC2(CCCN(C(=O)Nc3cccc(C#N)c3)C2)CC1,0.0,-1.592,0.1691,0,0
CS(=O)(=O)N1CCC2(CCCN(C(=O)Nc3cccc(C#N)c3)C2)CC1,0.0,-1.579,0.1709,0,0
CS(=O)(=O)N1CCC2(CCCN(C(=O)Nc3cccc(F)c3)C2)CC1,0.0,-1.632,0.1636,0,0
COC(=O)N1CCC2(CCCN(C(=O)Nc3cccc(C#N)c3)C2)CC1,1.0,-1.4795,0.1855,0,0
COCC(=O)N1CCC2(CCCN(C(=O)Nc3cccc(F)c3)C2)CC1,0.0,-1.226,0.2269,0,0
COc1ccc(NC(=O)N2CCCC3(CCN(S(C)(=O)=O)CC3)C2)cc1,0.0,-1.423,0.1942,0,0
CC(=O)N1CCC2(CCCN(C(=O)Nc3cccc(F)c3)C2)CC1,0.0,-1.625,0.1646,0,0
COC(=O)N1CCC2(CCCN(C(=O)Nc3cccc(F)c3)C2)CC1,0.0,-1.529,0.1781,0,0
O=C(Nc1ccccc1)N1CCCC2(CCNCC2)C1,0.0,-2.014,0.11774,0,0
COCC(=O)N1CCC2(CCCN(C(=O)Nc3ccc(OC)cc3)C2)CC1,0.0,-1.344,0.2068,0,0
COCC(=O)N1CCC2(CCCN(C(=O)Nc3cccc(C#N)c3)C2)CC1,0.0,-1.144,0.2415,0,0
COc1ccc(NC(=O)N2CCCC3(CCNCC3)C2)cc1,0.0,-2.086,0.1104,0,0
COCC(=O)N1CCC2(CCCN(C(=O)Nc3ccccc3)C2)CC1,0.0,-1.308,0.213,0,0
COC(=O)N1CCC2(CCCN(C(=O)Nc3ccc(OC)cc3)C2)CC1,0.0,-1.353,0.2054,0,0
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.0,-1.058,0.2578,0,0
CC(C)CCCC(C)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC12C,0.0,-0.06683,0.483,0,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0.0,-1.323,0.2102,0,0
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,0.0,-0.787,0.3127,0,0
CC12CCC(O)CC1CCC1C2CCC2(C)C(C(=O)CO)CCC12,1.0,-0.5386,0.3684,0,0
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1.0,-0.4534,0.3884,0,0
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0.0,-1.2,0.2314,0,0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0.0,-1.076,0.2542,0,0
CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0.0,-1.403,0.1973,0,0
CCN1C(=O)C2CCC3C(=NOC)CC(O)C(O)C3C2C1=O,0.0,-1.634,0.1632,0,0
CCOC(=O)CCN1C(=O)C2CCC3C(=NOCC(C)C)CC(O)C(O)C3C2C1=O,0.0,-1.458,0.1888,0,0
CCOC(=O)CCN1C(=O)C2CCC3C(=NOCC=C(C)CCC=C(C)C)CC(O)C(O)C3C2C1=O,0.0,-1.346,0.2064,0,0
