Drug,y_true,logit,prob,pred_mcc,pred_prev
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,1.0,1.017,0.7344,0,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.0,-0.12225,0.4697,0,0
CC(C)NCC(O)COc1cccc2ccccc12,1.0,3.104,0.957,1,1
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0.0,0.0521,0.513,0,0
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,0.0,0.06183,0.5156,0,0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1.0,3.062,0.955,1,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.0,0.06616,0.5166,0,0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0.0,0.0642,0.516,0,0
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0,2.316,0.91,1,1
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0.0,1.808,0.859,0,0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0.0,0.4998,0.6226,0,0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1.0,2.848,0.9453,1,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,0.0,1.981,0.879,0,0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0.0,0.7695,0.6836,0,0
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0.0,-0.4304,0.3938,0,0
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,1.0,2.572,0.929,1,1
N=C(N)NCC1COc2ccccc2O1,1.0,4.223,0.9854,1,1
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,0.0,2.223,0.9023,1,1
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1.0,-0.558,0.3643,0,0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,0.0,0.2327,0.5576,0,0
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,3.17,0.9595,1,1
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0.0,0.002226,0.5005,0,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,1.069,0.744,0,0
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,1.0,2.047,0.8857,1,0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.0,-1.098,0.2502,0,0
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,0.0,-0.00668,0.498,0,0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0.0,0.02126,0.5054,0,0
O=C(NC1CCSC2CCCC(C(=O)O)N2C1=O)C(S)Cc1ccccc1,0.0,-0.1954,0.4514,0,0
CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,0.0,0.574,0.64,0,0
NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,0.0,2.64,0.9336,1,1
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,0.0,2.643,0.9336,1,1
