Drug,y_true,logit,prob,pred_mcc,pred_prev
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,1.0,0.2018,0.5503,1,1
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.0,-0.01697,0.4956,0,0
CC(C)NCC(O)COc1cccc2ccccc12,1.0,0.3955,0.5977,1,1
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1.0,0.02054,0.5054,1,0
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,1.0,0.0313,0.508,1,0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,1.0,0.09314,0.5234,1,0
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.0,-0.0383,0.4905,0,0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,0.0,-0.010925,0.497,0,0
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.0,0.4062,0.6,1,1
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0.0,0.3738,0.593,1,1
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1.0,0.2566,0.564,1,1
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0.0,0.2913,0.5723,1,1
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,1.0,0.5645,0.6377,1,1
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,1.0,0.621,0.6504,1,1
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0.0,-0.03543,0.4915,0,0
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,1.0,0.252,0.5625,1,1
N=C(N)NCC1COc2ccccc2O1,0.0,-0.06256,0.4844,0,0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1.0,0.4902,0.62,1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,1.0,0.2834,0.5703,1,1
CN1CCN2c3ccccc3Cc3ccccc3C2C1,1.0,0.2844,0.571,1,1
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0.0,0.004665,0.5015,1,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,0.6895,0.666,1,1
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,1.0,0.3928,0.5967,1,1
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,1.0,0.3225,0.58,1,1
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,1.0,0.01807,0.5044,1,0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1.0,0.314,0.5776,1,1
O=C(NC1CCSC2CCCC(C(=O)O)N2C1=O)C(S)Cc1ccccc1,0.0,0.03198,0.508,1,0
CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,1.0,0.5957,0.645,1,1
NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,0.0,0.4062,0.6,1,1
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,1.0,0.3818,0.594,1,1
