Drug,y_true,logit,prob,pred_mcc,pred_prev
O=C(O)CCCCCNC(=O)c1ccncc1,0.0,-3.268,0.03668,0,0
Cc1cc(C)nc(NC(=O)CCCC(=O)O)c1,0.0,-3.611,0.02632,0,0
CCCCC(=O)NC(Nc1cc(C)ccn1)(C(=O)OCC)C(F)(F)F,1.0,-0.274,0.4316,0,0
CCOC(=O)c1cccc(C(=O)OCC)n1,0.0,-2.307,0.0906,0,0
NNC(=O)Cc1cccnc1,1.0,-3.23,0.03802,0,0
Cc1ncc(CO)c(CN)c1O,0.0,-3.26,0.037,0,0
Cc1ncc(COP(=O)(O)O)c(C)c1O,0.0,-3.309,0.03528,0,0
CN(C)CCNc1ccccn1,0.0,-3.057,0.04495,0,0
CCN(CC(=O)O)C(=O)c1cccnc1,0.0,-3.73,0.02342,0,0
CCc1ccc(CCC(=O)O)nc1,0.0,-3.27,0.03662,0,0
CN(C)CCCc1cccnc1,0.0,-3.111,0.04263,0,0
CC(C)CNCCc1ccccn1,0.0,-2.312,0.0901,0,0
CC(C)C(=O)C(C)(C)CCc1ccccn1,0.0,-1.183,0.2344,0,0
CN(C)CCC(C(=O)C(C)(C)C)c1ccccn1,0.0,-2.732,0.06107,0,0
N=C(N)SCCc1ccccn1,0.0,-3.057,0.04495,0,0
N=C(N)SCCc1ccncc1,0.0,-3.012,0.04688,0,0
O=C(O)C(O)Cc1ccccn1,0.0,-3.074,0.04416,0,0
C[N+](C)(C)CC(=O)NN=Cc1ccncc1,0.0,-3.068,0.04443,0,0
OCCCNCc1ccccn1,0.0,-3.201,0.03912,0,0
OCCCNCc1ccncc1,0.0,-3.256,0.0371,0,0
O=C(O)Cc1cccnc1,0.0,-3.162,0.04062,0,0
CN(C)Cc1ccc(O)c(CN(C)C)n1,0.0,-3.008,0.04706,0,0
CN(CCO)Cc1ncccc1O,0.0,-3.424,0.03156,0,0
NCCOc1ccccn1,0.0,-2.994,0.0477,0,0
CC(=O)CSCc1ccccn1,0.0,-2.293,0.0917,0,0
O=C(O)CSc1ncccc1[N+](=O)[O-],0.0,-2.965,0.04904,0,0
O=C(O)C=CC(=O)Nc1ccccn1,0.0,-3.611,0.02632,0,0
O=C(NCP(=O)(O)O)c1cccnc1,0.0,-3.113,0.04254,0,0
CN(C)CC(CN(C)C)c1ccccn1,0.0,-2.83,0.0557,0,0
O=C(O)c1ccncc1,0.0,-3.186,0.0397,0,0
OCc1ccncc1,0.0,-2.973,0.04868,0,0
CN(C)S(=O)(=O)Nc1ccccn1,0.0,-2.95,0.04977,0,0
NC([N-]N=Cc1ccccn1)=S=[Fe],0.0,-2.629,0.0673,0,0
CSC([N-]N=Cc1cccc(C)n1)=S=[Cu],1.0,-1.606,0.1671,0,0
CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0.0,-2.695,0.06323,0,0
O=C(O)c1cc(C(=O)O)nc(C(=O)O)c1,0.0,-3.31,0.03522,0,0
CCOC(=O)CCCNC(=O)c1cncc(Br)c1,1.0,-2.285,0.09235,0,0
CCCCc1ccc(C(=O)O)nc1,0.0,-3.16,0.04068,0,0
Cc1ncc(CO)c(CO)c1O,0.0,-3.2,0.03918,0,0
CNCCc1ccccn1,0.0,-2.986,0.04803,0,0
O=C(O)Cc1cccnc1C(=O)O,0.0,-3.555,0.0278,0,0
Cc1ccnc(N)c1,0.0,-2.855,0.0544,0,0
CNCCC=Cc1cccnc1,0.0,-2.643,0.06647,0,0
CCC(C)(C)N=C(NC#N)Nc1cccnc1,1.0,-0.944,0.28,0,0
OC(Cc1ccncc1)C(Cl)(Cl)Cl,1.0,-2.357,0.0865,0,0
O=C(NCCO[N+](=O)[O-])c1cccnc1,0.0,-2.93,0.05072,0,0
CCCSc1nc(C)cc(C)c1C(N)=O,0.0,-2.13,0.10614,0,0
Cc1cc(C)c(C#N)c(SCC(=O)C(C)(C)C)n1,0.0,1.08,0.7466,1,1
CCOC(=O)CNC(=O)c1cccnc1,0.0,-3.031,0.04605,0,0
CCC(C)C(NC(=O)NCc1ccccn1)C(=O)OC,0.0,-2.012,0.118,0,0
COC(=O)CSc1nc(C)cc(C(F)(F)F)c1C#N,0.0,-0.9414,0.2805,0,0
CC(C)=CC(=O)OCC(=O)Nc1ncc(Cl)c(C)c1Cl,0.0,-1.614,0.166,0,0
CCOC(=O)c1cncc(C(=O)O)c1,0.0,-3.152,0.041,0,0
CC(=O)Nc1ccc([N+](=O)[O-])cn1,0.0,-2.777,0.05856,0,0
N#Cc1cc([N+](=O)[O-])cnc1NCC(O)CO,0.0,-2.486,0.07684,0,0
CC(=O)NNc1cccc(Cl)n1,0.0,-2.623,0.0676,0,0
CN(NC(=O)NN)c1ncc(C(F)(F)F)cc1Cl,1.0,-2.277,0.093,0,0
C=CCC(C(=O)OC)(C(=O)OC)c1ccc([N+](=O)[O-])cn1,0.0,-2.592,0.0697,0,0
COC(=O)C(C)(C(=O)OC)c1ccc([N+](=O)[O-])cn1,0.0,-2.908,0.05173,0,0
CCCCCCCCC(=O)NN=Cc1ccccn1,0.0,-1.021,0.2646,0,0
CCOC(=O)C(=CNc1ncccc1C)C(=O)OCC,1.0,0.2957,0.573,0,0
CC(Oc1ccc(-c2ccccc2)cc1)C(=O)O,0.0,-1.884,0.132,0,0
O=[N+]([O-])c1cc(-c2ccc([As](=O)(O)O)cc2)ccc1[As](=O)(O)O,0.0,-2.5,0.07587,0,0
C[N+](C)([O-])Cc1cc(-c2ccccc2)ccc1O,0.0,-2.143,0.105,0,0
NC(N)=Nc1ccc(-c2ccc(N=C(N)N)cc2)cc1,0.0,-2.697,0.0632,0,0
O=C(O)C(Cc1ccccc1-c1ccccc1)C(=O)O,0.0,-2.934,0.0505,0,0
NS(=O)(=O)c1ccc(-c2ccc([As](=O)(O)O)cc2)cc1,0.0,-2.61,0.06854,0,0
CN(C)Cc1cc(C(C)(C)C)ccc1-c1ccc(C(C)(C)C)cc1CN(C)C,0.0,1.606,0.833,1,1
CN(C)Cc1ccc(C(C)(C)C)cc1-c1cc(C(C)(C)C)ccc1CN(C)C,0.0,1.636,0.8364,1,1
Cc1cc(-c2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,0.0,0.05682,0.514,0,0
NC(Cc1cccc(-c2ccccc2CP(=O)(O)O)c1)C(=O)O,0.0,-2.531,0.07367,0,0
NC(Cc1cc(CP(=O)(O)O)cc(-c2ccccc2Cl)c1)C(=O)O,0.0,-2.463,0.0785,0,0
NC(Cc1cc(-c2ccc(Cl)cc2Cl)cc(CP(=O)(O)O)c1O)C(=O)O,0.0,-2.102,0.10895,0,0
COC(=O)c1cc(OC)ccc1-c1ccc(OC)cc1,0.0,0.434,0.6064,0,0
O=C(O)c1ccccc1-c1ccccc1C(=O)NCCCO,0.0,-2.754,0.05988,0,0
CC(O)CNCc1ccc(-c2ccccc2)cc1,0.0,-1.2295,0.2262,0,0
O=C(O)C=CC(=O)Nc1ccccc1-c1ccccc1,0.0,-2.09,0.11005,0,0
CCN(CC)S(=O)(=O)c1cccc2c(N(C)C)cccc12,0.0,0.2346,0.558,0,0
O=S(=O)(O)CCCc1cccc2ccccc12,0.0,-2.252,0.09515,0,0
O=C(O)CCCc1ccc2ccccc2c1,0.0,-2.658,0.0655,0,0
O=C(O)CCC(=O)Nc1ccc2ccccc2c1,0.0,-2.771,0.05887,0,0
Nc1c(OCC(=O)O)ccc2cc(S(=O)(=O)O)ccc12,0.0,-3.023,0.0464,0,0
CN(C)CC(O)c1ccc(Cl)c2ccccc12,0.0,-1.441,0.1913,0,0
N=C(N)SCc1ccc(Cl)c2ccccc12,0.0,-2.152,0.1041,0,0
Nc1cc(S(=O)(=O)O)cc2ccc(S(=O)(=O)O)cc12,0.0,-2.752,0.05997,0,0
O=C(O)c1cc2ccccc2c(S(=O)(=O)O)c1O,0.0,-3.16,0.04068,0,0
COc1ccc2cc(C(=O)CCC(=O)O)ccc2c1,0.0,-2.451,0.07935,0,0
C[N+](C)(C)CC(=O)NN=Cc1c(O)ccc2ccccc12,0.0,-2.828,0.05585,0,0
O=C(O)c1ccc(C(=O)O)c2c(C(=O)O)ccc(C(=O)O)c12,0.0,-2.988,0.04797,0,0
CCC(c1ccc2cc(O)ccc2c1)C(C)(C)C(=O)O,0.0,-2.012,0.118,0,0
O=C(O)CSCc1cccc2ccccc12,0.0,-2.379,0.0848,0,0
NS(=O)(=O)c1cc(C(=O)O)c(O)c2ccccc12,0.0,-3.15,0.04108,0,0
COc1cc2ccc(C(C)NCC#N)cc2cc1OC,0.0,-0.8022,0.3096,0,0
O=C(O)Cc1c(O)ccc2ccccc12,0.0,-2.742,0.0605,0,0
CC(=O)CC(=O)Nc1ccc2ccccc2c1,0.0,-1.847,0.1362,0,0
N#Cc1c(NC(=O)CCC(=O)O)ccc2ccccc12,0.0,-2.441,0.0801,0,0
NCCNS(=O)(=O)c1cccc2c(Cl)cccc12,1.0,-1.586,0.17,0,0
NCCCCCCNS(=O)(=O)c1cccc2ccccc12,1.0,-1.446,0.1907,0,0
NCCCCCCNS(=O)(=O)c1ccc2c(Cl)cccc2c1,1.0,-0.752,0.3203,0,0
NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,1.0,0.39,0.596,0,0
CCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,1.0,0.6904,0.666,0,0
CC(C)NCC(O)COc1cccc2ccccc12,0.0,0.2048,0.5513,0,0
OCC(O)COc1cccc2ccccc12,0.0,-1.76,0.1467,0,0
O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,0.0,-3.111,0.04263,0,0
COC(=O)CCC(=O)Nc1cccc2ccccc12,0.0,-1.909,0.1292,0,0
CC(C)Oc1ccc2ccccc2c1C=O,0.0,-0.802,0.3098,0,0
CCCCOC(OCCCC)C(O)CSc1ccc2ccccc2c1,1.0,0.273,0.568,0,0
CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,1.0,-0.4673,0.3853,0,0
O=C(O)c1cc2cc(Cl)ccc2oc1=O,0.0,-2.613,0.0683,0,0
CCOc1cc2c(C)cc(=O)oc2cc1Cl,0.0,-1.263,0.2205,0,0
CC(C)OC(=O)c1cc2ccccc2oc1=O,0.0,-1.809,0.1409,0,0
[CH2-]C(Cc1cccc2cc(C(=O)O)c(=O)oc12)OC,0.0,-3.086,0.0437,0,0
Cc1cc(=O)oc2c(OS(C)(=O)=O)c(OS(C)(=O)=O)ccc12,0.0,-2.64,0.0666,0,0
Cc1cc(=O)oc2cc(O)c(CN(C)CC(=O)O)cc12,0.0,-3.082,0.04385,0,0
CCCCc1cc(=O)oc2cc(OCC(=O)N(CC)CC)ccc12,0.0,-0.8174,0.3064,0,0
C=CCc1cccc2cc(C(=O)N(CC)CC)c(=O)oc12,1.0,-0.2732,0.4321,0,0
O=Nc1ccc2oc(=O)ccc2c1,1.0,-1.837,0.1375,0,0
Cc1cc(=O)oc2cc(O)ccc12,0.0,-2.252,0.09515,0,0
COc1cc2ccc(=O)oc2cc1O,0.0,-1.957,0.1238,0,0
CC(=O)Nc1cc2ccccc2oc1=O,0.0,-1.847,0.1362,0,0
CC(=O)c1cc2ccccc2oc1=O,0.0,-1.904,0.1296,0,0
CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1,0.0,-0.9023,0.2886,0,0
CCN(CC)c1ccc2c(Cl)cc(=O)oc2c1,1.0,-1.434,0.1925,0,0
CC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1,0.0,-1.383,0.2007,0,0
CC(=O)Nc1c(NC(C)C)c2ccccc2oc1=O,0.0,-1.479,0.1857,0,0
Cc1cc(=O)oc2cc(NC(=O)CCC(=O)O)ccc12,0.0,-3.291,0.0359,0,0
CC(=O)Nc1c(NCC(C)C)c2ccccc2oc1=O,0.0,0.535,0.6304,0,0
COc1ccccc1CNc1ncnc2ccc(-c3cccc(NS(C)(=O)=O)c3)cc12,1.0,4.234,0.9854,1,1
COc1ccccc1-c1ccc2ncnc(NCc3ccccc3)c2c1,1.0,3.928,0.981,1,1
COc1ccc(CNc2ncnc3ccc(-c4ccccc4CN(C)C)cc23)c(OC)c1,1.0,4.28,0.9863,1,1
COc1cccc(-c2ccc3ncnc(NCc4ccc(OC)cc4OC)c3c2)c1,1.0,4.707,0.991,1,1
Cc1cccc(CNc2ncnc3ccc(-c4cccc(NS(C)(=O)=O)c4)cc23)c1,1.0,4.01,0.982,1,1
CN(C)C(=O)c1ccc(-c2ccc3ncnc(NCc4ccccc4)c3c2)cc1,1.0,3.2,0.9604,1,1
COc1ccccc1CNc1ncnc2ccc(-c3cccc(C#N)c3)cc12,1.0,3.957,0.981,1,1
CN(C)c1ccc(-c2ccc3ncnc(NCc4ccccc4)c3c2)cc1,1.0,4.062,0.983,1,1
COc1cccc(-c2ccc3ncnc(NCc4ccccc4)c3c2)c1,1.0,3.695,0.976,1,1
COc1ccc(CNc2ncnc3ccc(-c4cccc(C#N)c4)cc23)c(OC)c1,1.0,4.31,0.9863,1,1
COc1ccccc1CNc1ncnc2ccc(-c3ccc(N(C)C)cc3)cc12,1.0,4.215,0.9854,1,1
COc1cccc(-c2ccc3ncnc(NCc4ccccc4OC)c3c2)c1,1.0,4.53,0.9893,1,1
Cc1cccc(CNc2ncnc3ccc(-c4ccccc4CN(C)C)cc23)c1,1.0,3.674,0.975,1,1
COc1ccccc1CNc1ncnc2ccc(-c3ccccc3C#N)cc12,1.0,3.947,0.981,1,1
Cc1cccc(CNc2ncnc3ccc(-c4cccc(C#N)c4)cc23)c1,0.0,3.346,0.966,1,1
COc1ccc(CNc2ncnc3ccc(-c4ccccc4C#N)cc23)c(OC)c1,1.0,4.33,0.9863,1,1
COc1ccc(CNc2ncnc3ccc(-c4ccccc4OC)cc23)c(OC)c1,1.0,4.832,0.992,1,1
COc1ccc(CNc2ncnc3ccc(-c4ccc(C(=O)N(C)C)cc4)cc23)c(OC)c1,1.0,4.465,0.9883,1,1
N#Cc1ccccc1-c1ccc2ncnc(NCc3ccccc3)c2c1,1.0,3.22,0.9614,1,1
CN(C)Cc1ccccc1-c1ccc2ncnc(NCc3ccccc3)c2c1,1.0,3.785,0.978,1,1
Cc1cccc(CNc2ncnc3ccc(-c4ccccc4C#N)cc23)c1,1.0,3.752,0.977,1,1
COc1ccccc1CNc1ncnc2ccc(-c3ccccc3CN(C)C)cc12,1.0,3.762,0.977,1,1
COc1ccc(CNc2ncnc3ccc(-c4cccc(NS(C)(=O)=O)c4)cc23)c(OC)c1,1.0,4.316,0.9863,1,1
COc1ccccc1CNc1ncnc2ccc(-c3ccc(C(=O)N(C)C)cc3)cc12,1.0,3.963,0.982,1,1
