Drug,y_true,y_pred,error
O=C(O)COc1ccc([N+](=O)[O-])cc1-c1ccccc1,-2.5882509,0.5522,3.140497
N#Cc1ccc(OCC(=O)O)c(-c2ccccc2)c1,-2.9293318,-0.4329,2.4964705
CN(c1ccc(-c2cc(F)ccc2OCC(=O)O)c(Cl)c1)S(C)(=O)=O,-3.0080428,-0.689,2.319078
O=C(O)COc1ccc(Br)cc1-c1ccccc1,-1.8536148,0.3948,2.2483902
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,-2.789401,-0.5796,2.2098112
CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cnccc4CN4CCCC4)n3)cc2)CC1,0.8837791,-1.302,2.1855369
Cc1cc(N(C)S(C)(=O)=O)ccc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,-2.5007942,-0.3198,2.18097
N#Cc1ccc(C(F)(F)F)nc1OC(CCN)c1ccno1,-2.4133375,-0.2406,2.172737
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1,-2.3608634,-0.2812,2.0796134
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1,-2.5532682,-0.4834,2.0698698
CCS(=O)(=O)c1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,-2.5620139,-0.521,2.0410178
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1,-2.3783548,-0.3457,2.0326517
Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,1.6009238,-0.3801,1.9810507
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)cc1,-2.666962,-0.6895,1.9775088
N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,-2.1247303,-0.175,1.9496815
CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(C(=O)O)c2C)cc1,-0.952811,0.9883,1.9410923
CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OC(C)C(=O)O)c(C)c1,-2.3346264,-0.4275,1.9071362
CCN(c1ccccc1)c1cc(NC)[n+](C)c(C)n1,-2.7806554,-0.9434,1.837296
CN(c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1)S(C)(=O)=O,-2.693199,-0.8613,1.8318708
O=C(O)c1cc2cc(OCc3ccccc3)ccc2[nH]1,-1.634973,0.1892,1.824182
CS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1,-2.640725,-0.822,1.8189476
O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(O)cc(C(F)(F)F)c1,-1.2851464,0.4966,1.7817284
N#Cc1cccc(-c2cc(Cl)ccc2OCC(=O)O)c1,-2.2034414,-0.4473,1.7561758
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(Cl)c1,-2.4395745,-0.686,1.7535393
O=C(NC(Cc1ccccc1)C(O)C(=O)N1CC(O)C(O)C1)c1cc2cc(Cl)ccc2[nH]1,0.46398708,-1.288,1.752073
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,-2.7456727,-1.048,1.6978211
N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,-1.9410714,-0.256,1.6849679
Cc1ccc(C#N)cc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,-1.8536148,-0.2688,1.584816
CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C,-0.034515962,1.493,1.52768
O=C1N=C(O)NC1(c1ccccc1)c1ccccc1,0.122906044,-1.376,1.4988827
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C(F)(F)F)c1,-1.4425684,0.0527,1.4952723
Nc1cc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)cc(C(F)(F)F)c1,-1.8098865,-0.346,1.4639392
CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1,-0.93531966,0.518,1.4533861
CC(=O)c1ccc2[nH]c(-c3cccnc3)cc(=O)c2c1,-0.7516607,0.6924,1.4440435
COc1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,-1.7311754,-0.2937,1.4374743
CNC(=O)c1ccc2c(=O)cc(-c3cccnc3)[nH]c2c1,-1.1014874,0.3289,1.4303448
COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cccnc12,-0.1569553,1.245,1.4020724
CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3)n2)cc1,-0.6029843,0.799,1.4018124
C1CCC(NC2CCCCC2)CC1,-2.317135,-0.9287,1.3884242
O=C(O)COc1ccc(C(F)(F)F)cc1-c1ccc(Cl)cc1,-1.1976897,0.1743,1.372006
CCC(Oc1ccc(C(F)(F)F)cc1-c1ccc(S(=O)(=O)CC)cc1C)C(=O)O,-1.7136841,-0.3472,1.3665161
CC(O)C(NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO,-0.20942931,-1.541,1.3315864
Cc1[nH]c(C(=O)NC2CCN(c3nc(C(=O)O)cs3)CC2)c(Cl)c1Cl,-1.8623605,-0.5312,1.3311105
CC(C)NCC(O)COc1cccc2ccccc12,-1.1189787,0.208,1.3269866
Cc1[nH]c(C(=O)NC2CCN(c3ncc(C(=O)O)s3)CC2)c(Cl)c1Cl,-1.9673084,-0.655,1.3125232
CNC(C)C(=O)NC(C(=O)NC1CCCN(CCc2ccccn2)C1)C(C)(C)C,-2.4658115,-1.165,1.3007724
Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,-0.41932532,0.865,1.2845597
O=C1NC(=O)C(=Cc2cccc(Cl)c2N2CCNCC2)S1,-1.3900944,-0.10956,1.2805363
Nc1nc2cc3c(cc2s1)CCN(Cc1cnc[nH]1)CC3,-2.0897477,-0.8247,1.2650406
CC1(c2ccccc2)CC(=O)NC(N)=N1,-1.4425684,-2.678,1.235166
O=C(O)CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,-1.188944,0.033,1.2219335
Cc1nc2ccccc2n1Cc1sc2c(c1C(=O)N1CCC(O)C1)c(=O)n(C)c(=O)n2CC(C)C,-0.81288034,0.401,1.2137592
CCCCCc1cc(=O)[nH]c(N)n1,-0.5680017,-1.778,1.2103186
O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccc(C(F)(F)F)cc1,1.7670915,0.5586,1.2084978
Cc1ccc(NC(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1C(=O)Nc1cccnc1,0.49022406,1.668,1.1777446
Cc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,-0.08698997,1.066,1.1533962
CS(=O)(=O)c1ccccc1C(=O)NCC(O)CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,-0.92657405,0.2242,1.1508172
Cc1nc(CSc2nc(NC(C)CO)c3sc(=O)[nH]c3n2)cs1,-0.4717993,0.6787,1.1505103
CCON=C(c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[n+]([O-])c3C)CC2)CC1,-0.113226965,1.029,1.1425239
O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccccc1OC(F)(F)F,1.5921781,0.463,1.1292875
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)N2CCC(C(C)=O)CC2)CC1,-1.1976897,-0.0726,1.1251189
CNC(C)C(=O)NC1CN(C(=O)CC(C)C)CCC2CCC(C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,-0.3930883,0.7295,1.1225805
Oc1ccc(Br)c2ccccc12,1.7758372,0.6533,1.1225169
CNc1cccc(CCOc2ccc(CC(NC(=O)c3c(C)cc(C)cc3C)C(=O)O)cc2)n1,-1.530025,-0.411,1.1191363
COc1ccccc1N1CCN(Cc2c(Br)c(=O)n(-c3ccccc3)n2C)CC1,0.20161705,1.303,1.1011174
CC(C)CNc1nc(C#N)nc(N2CC(O)C2)c1N,-0.2356663,-1.319,1.0836697
CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(C(=O)NCCOCCN)c2C)cc1,0.16663438,1.243,1.0765297
Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1,-0.26190332,0.7983,1.0602431
COc1cc2c(NC(=O)Nc3c(Cl)cccc3Cl)ncnc2cc1OCC1CCN(C)CC1,0.3765304,1.409,1.0326493
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1C(F)(F)F,-0.41057965,0.6206,1.0311852
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,0.11416038,1.132,1.0176755
Cc1ccc2c(c1)C1(CCN(CCc3nc(-c4ccccc4)oc3C)CC1)OC(=O)N2,1.6883805,0.6807,1.0077164
CN(C)c1cccc2c(S(=O)(=O)N(C)CC(=O)O)cccc12,-3.2529216,-2.25,1.0029216
CCN(CC)S(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,-1.3988401,-0.4,0.9989377
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)CN2C(=O)CCC2=O)c1=O)C(=O)C(F)(F)F,-1.1452157,-0.1488,0.99641204
O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccc(F)c(Cl)c1,1.4959759,0.502,0.9940227
COc1ccc(NC(=O)c2ccnc(N)n2)cc1,-0.48054498,-1.459,0.9784394
N#Cc1nc(N2CCOCC2)nc(N2CCOCC2)n1,-0.664204,-1.63,0.9656788
O=c1[nH]c2c(O)ccc(C(O)CNCCc3cccc(CNCCc4ccccn4)c3)c2s1,-2.0460193,-1.084,0.96203494
Cc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1,-0.2356663,0.7236,0.9592991
CC(=O)NCC1CN(c2ccc(-n3ccnc3)c(F)c2)C(=O)O1,-1.372603,-0.415,0.957564
CN(C)c1cccc2c(S(N)(=O)=O)cccc12,-0.27939466,-1.231,0.9520507
Cc1oc(S(C)(=O)=O)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1cn(C)c2ccc(Cl)cc12,1.9332591,0.9844,0.9488841
