Drug,y_true,logit,prob,pred_mcc,pred_prev
CNCCc1ccccn1,0.0,-3.684,0.02452,0,0
Cc1ncc(CO)c(CO)c1O,0.0,-3.812,0.02162,0,0
Nc1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,1.0,0.4663,0.6147,1,1
CCN(CC)CCOC(=O)c1cccc(-c2ccccc2)c1O,0.0,-1.68,0.1571,0,0
CC(C)NCC(O)COc1cccc2ccccc12,0.0,0.3494,0.5864,1,1
NCCCCCCNSc1cccc2c(Cl)cccc12,0.0,-0.8965,0.2898,0,1
NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0.0,-1.229,0.2266,0,1
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1.0,-1.701,0.1543,0,0
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1.0,-1.311,0.2123,0,0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.0,-2.293,0.0917,0,0
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1.0,-0.782,0.314,0,1
CN(C)CCCOC1(Cc2ccccc2)CCCCC1,0.0,-1.536,0.177,0,0
CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1,0.0,-0.565,0.3623,0,1
CN(C)CCC(c1ccccc1)C1CCCCC1,0.0,-1.172,0.2366,0,1
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,1.0,-4.004,0.01791,0,0
CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,0.0,-4.273,0.01375,0,0
COc1ccc(CCNC(C)C(O)c2ccc(O)c(NS(C)(=O)=O)c2)cc1,0.0,-4.258,0.01396,0,0
CCCCCCCC1OC(=O)CC(OCOC)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C1C,1.0,1.437,0.8076,1,1
CC1COC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O,1.0,-2.402,0.083,0,0
COCOC1CC(=O)OCC(C)C(=O)OC(C(C)C)C(=O)N(C)C1Cc1ccccc1,1.0,-0.7803,0.3142,0,1
CCCCCCCC1OC(=O)CCC(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C1C,1.0,0.455,0.612,1,1
CCCCCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C1C,1.0,-1.008,0.2673,0,1
CCCCCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C)(C)OC(=O)C1C,1.0,-1.546,0.1757,0,0
CCCCCCCC1OC(=O)CC(OCOC)C(Cc2ccccc2)N(C)C(=O)C(C)(C)OC(=O)C1C,1.0,1.294,0.7847,1,1
CCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)COC(=O)C1C,1.0,-2.166,0.1028,0,0
CCCCCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C)OC(=O)C1C,1.0,-1.637,0.163,0,0
CCCCC1OC(=O)CC(OCOC)C(Cc2ccccc2)N(C)C(=O)COC(=O)C1C,1.0,-0.6836,0.3354,0,1
CCCCCCCC1OC(=O)CC(OCOC)C(Cc2ccccc2)N(C)C(=O)C(C)OC(=O)C1C,1.0,1.158,0.7607,1,1
CCCCCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)COC(=O)C1C,1.0,-1.278,0.2179,0,1
CCCCCCCC1OC(=O)CC(OCOC)C(Cc2ccccc2)N(C)C(=O)COC(=O)C1C,1.0,0.807,0.6914,1,1
CCCCCCCC1CC(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(O)CC(=O)O1,1.0,-1.49,0.184,0,0
CCCCCCCC1CC(=O)OC(C(C)C)C(=O)N(C)C(Cc2ccccc2)C(OCOC)CC(=O)O1,1.0,1.027,0.737,1,1
CC(C)C1OC(=O)C(C)C(C)OC(=O)CC(O)C(Cc2ccccc2)N(C)C1=O,1.0,-2.389,0.08405,0,0
COCOC1CC(=O)OC(C)C(C)C(=O)OC(C(C)C)C(=O)N(C)C1Cc1ccccc1,1.0,-0.727,0.326,0,1
COc1ccc(Cl)cc1C(=O)NCCc1ccc(C(=O)O)cc1,0.0,-2.637,0.06683,0,0
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,1.0,-1.983,0.121,0,0
NC(Cn1ccc(=O)c(O)c1)C(=O)O,0.0,-4.31,0.013275,0,0
Clc1cccc(Cl)c1NC1=NCCN1,0.0,-3.252,0.03726,0,0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,1.0,0.7026,0.669,1,1
CC(C)C1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12,0.0,-1.545,0.1758,0,0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12,1.0,-0.5127,0.3745,1,1
CCCNCC(O)c1oc2ccccc2c1CC,1.0,-2.64,0.0666,0,0
N#Cc1c2n(c3c(N4CCN(CCc5ccccc5)CC4)ncnc13)CCCC2,1.0,2.393,0.916,1,1
N#Cc1c2n(c3c(N4CCN(CCc5ccccc5Cl)CC4)ncnc13)CCCC2,1.0,2.195,0.9,1,1
N#Cc1c2n(c3c(N4CCN(CCc5cccc(Cl)c5)CC4)ncnc13)CCCC2,1.0,2.09,0.8896,1,1
N#Cc1c2n(c3c(N4CCN(CCc5ccc(Cl)cc5)CC4)ncnc13)CCCC2,1.0,1.925,0.873,1,1
N#Cc1c2n(c3c(N4CCN(CCc5cccc([N+](=O)[O-])c5)CC4)ncnc13)CCCC2,1.0,2.213,0.9014,1,1
N#Cc1c2n(c3c(N4CCN(CCc5ccc([N+](=O)[O-])cc5)CC4)ncnc13)CCCC2,1.0,2.0,0.8804,1,1
COc1cccc(CCN2CCN(c3ncnc4c(C#N)c5n(c34)CCCC5)CC2)c1,1.0,2.812,0.943,1,1
N#Cc1c2n(c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc13)CCCC2,1.0,1.721,0.848,1,1
N#Cc1c2n(c3c(N4CCN(CCc5ccccc5)CC4)nc(I)nc13)CCCC2,1.0,2.582,0.93,1,1
COC(=O)c1c2n(c3c(N4CCN(CCc5ccccc5)CC4)ncnc13)CCCC2,1.0,2.467,0.922,1,1
CCNC(=O)c1c2n(c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc13)CCCC2,1.0,-0.2856,0.4287,1,1
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1.0,2.8,0.943,1,1
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12,0.0,-2.71,0.06232,0,0
CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(=O)C(=C(N)O)C(=O)C(N(C)C)C3C(O)C21,0.0,-2.355,0.0866,0,0
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,0.0,-1.416,0.1953,0,0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,2.4,0.9165,1,1
OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,0.0,-0.7314,0.325,0,1
NC(=O)C(CCN1CCCCC1)(c1ccccc1)c1ccccc1,0.0,-1.309,0.2126,0,0
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,0.0,-2.197,0.1,0,0
O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,0.0,-1.819,0.1395,0,0
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,0.0,-2.996,0.0476,0,0
