Drug,y_true,y_pred,error
N#Cc1ccc(C(F)(F)F)nc1OC(CCN)c1ccno1,-3.0203824,-0.04886,2.9715238
Cc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,-2.1787488,0.5723,2.7510145
COc1cc2nc(-c3ccc(N4CCN(C)CC4)cc3)nc(NCCN3CCOCC3)c2cc1OC,-2.2923927,0.2786,2.5709572
CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C,-1.700776,0.722,2.422944
O=C(O)CNC(=O)c1ncccc1O,-0.8451041,-3.086,2.2408333
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,-3.8493145,-1.735,2.113963
NC1=Nc2ccccc2Sc2cccc(F)c21,0.32542828,-1.726,2.0510142
CN(C)CCN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)nc(=O)[nH]1,-1.5610608,0.395,1.9560803
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Cc3c[nH]c4ncccc34)sc21,-1.3919319,0.3484,1.7403206
CNc1nc2ccccc2n1Cc1sc2c(c1C(=O)N1CCC(O)C1)c(=O)n(C)c(=O)n2CC(C)C,-1.4253566,0.2096,1.6349514
CS(=O)(=O)c1ccc2c(C(=O)NCC(O)CN3CCC(Oc4ccc(C#N)c(Cl)c4)CC3)c[nH]c(=O)c2c1,-1.4253566,0.1349,1.5602443
Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1ccc2c(c1)NC(=O)CO2,-1.0456522,0.3943,1.4399393
CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cnccc4CN4CCCC4)n3)cc2)CC1,0.18103366,-1.168,1.3490024
Cc1ccc(S(=O)(=O)N2N=Cc3ccccc3B2O)cc1,0.14627199,-1.114,1.2605298
COc1cc2c(ccc(=O)n2CCN2CCC(NCc3cc4c(cn3)OCCO4)CC2)cn1,-0.40657225,-1.636,1.22917
CNC(C)C(=O)NC1CN(C(=O)CC(C)C)CCC2CCC(C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,-0.98682475,0.2303,1.2171714
CC(O)C(NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO,0.46581194,-0.6753,1.1411049
Cc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)cn(C)c1=O,-0.5643368,0.5703,1.1346493
CC(Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1,-0.7909561,0.3325,1.1234756
O=c1[nH]c2c(O)ccc(C(O)CNCCc3cccc(CNCCc4ccccn4)c3)c2s1,-0.47208464,-1.582,1.1099466
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,0.39294615,-0.6978,1.0907
NC(=O)c1c(OC2CCN(CC(O)CNC(=O)c3c[nH]c(=O)c4ccccc34)CC2)ccc(Cl)c1Cl,-0.7127423,0.375,1.0877423
Nc1ncnc2c1ncn2C1OC(CSCCCNC(=O)NCc2ccccc2)C(O)C1O,-0.32434756,-1.386,1.0613947
