Drug,y_true,y_pred,error
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,1.1481624,0.0231,1.1250606
Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,0.71333295,-0.01602,0.7293547
CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,0.68326694,-0.009285,0.6925519
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0.3427696,-0.04892,0.39168927
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C23OC(=O)OC2C(OC(=O)C(O)C(CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,0.33863553,0.004173,0.33446226
CCC(C)C1NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)C2CCCN2C(=O)C(C)=O)C(C)OC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)CC1O,0.3187168,-0.01115,0.32986334
COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,0.16087036,-0.1549,0.3157776
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,0.055639386,-0.1774,0.23300755
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1,0.06578666,-0.15,0.21581107
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)O,-0.17098302,0.04324,0.21422642
CCC(O)C(C)C1OC1CC(C)(O)C=CC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC(=O)N2CCN(C3CCCCCC3)CC2)C=CC1C,0.19845285,-0.01093,0.20938577
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,-0.16872807,0.0332,0.2019312
CN1CCN2c3ccccc3Cc3ccccc3C2C1,0.33562893,0.1387,0.19695705
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,-0.17624457,0.01404,0.19028266
CC(C)(C)C(NC(=O)C(CC1CCCC1)CN(O)C=O)C(=O)N1CCN(Cc2ccc3c(c2)OCO3)CC1,-0.13978955,0.03268,0.17247388
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,0.34502456,0.1747,0.17034194
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1,-0.17323798,-0.00591,0.16732901
CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n(C4OC(CO)C(OC)C(O)C4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,0.15335386,-0.00908,0.16243283
CN(C)CCCNC(=O)C(=CCCCCC(=O)NO)COc1cccc2ccccc12,-0.16421817,-0.004,0.16021655
Cc1c[nH]c2c(O)cc3c(c12)C(CCl)CN3C(=O)c1cc2cc(NC(=O)Nc3ccc4[nH]c(C(=O)N5CC(CCl)c6c5cc(O)c5[nH]cc(C)c65)cc4c3)ccc2[nH]1,-0.17925116,-0.02158,0.15767524
CC1=NC(=O)C(CCN(C(C)C)C(C)C)(c2ccccc2)C2CCCCN12,-0.15933245,-0.00558,0.15375155
O=C1c2ccccc2S(=O)(=O)N1CCCCNCC1CCc2ccccc2O1,-0.17323798,-0.0203,0.15294379
CC(C)C(CCC(C)C1CCC2C3C(O)CC4CC(NCCCNCCCCN)CCC4(C)C3CCC12C)OS(=O)(=O)O,-0.17248632,-0.02296,0.14952184
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,-0.117240064,0.0297,0.14693367
Cc1ccc(C(=O)N(CCCN)C(c2nc3snc(C)c3c(=O)n2Cc2ccccc2)C(C)C)cc1,0.07217568,-0.0709,0.14309853
Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C,-0.13978955,0.0005703,0.14035985
CC(C)NCC(O)COc1cccc2ccccc12,-0.06462458,0.0755,0.14012507
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,-0.14918518,-0.009995,0.13919067
CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3[nH+]c12,-0.16985555,-0.0341,0.13576742
OCc1cc(C(O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,-0.09168397,0.0374,0.12909852
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,-0.13603131,-0.00909,0.1269447
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(n3cnnn3)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,-0.13227306,-0.01924,0.11303173
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CC1Cc3cc(OC)c(OC)cc31)CC2,-0.11874336,-0.008766,0.109977186
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,-0.015767343,0.0875,0.10329176
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2[nH+]c2ccccc12,-0.120998316,-0.02386,0.09713357
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,-0.108971916,-0.01791,0.0910581
Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,-0.12438074,-0.03555,0.08882776
CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,-0.045833334,0.02574,0.07157491
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,0.066914134,-0.002348,0.06926208
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,-0.0785301,-0.01058,0.06794813
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,-0.049591582,0.01787,0.06745963
CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc3ccccc3c2)CSSCC(C(=O)NC(C(N)=O)C(C)O)NC1=O,-0.1736138,-0.10913,0.06448294
CC(=N)N1CCC(Oc2ccc(C(Cc3ccc4ccc(C(=N)N)cc4c3)C(=O)O)cc2)C1,-0.122877434,-0.06015,0.06272729
CC12CCCCCC(Cc3ccc(O)cc31)C2N,0.029331643,-0.02643,0.055759866
COc1cc(C(=O)C(=O)N2CCCCC2C(=O)OC(CCCc2cccnc2)CCCc2cccnc2)cc(OC)c1OC,-0.13076976,-0.07776,0.05301097
Nc1nc2c(Cc3cccnc3)c[nH]c2c(=O)[nH]1,-0.13603131,-0.0862,0.049849674
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,-0.17624457,-0.1273,0.048925236
CC(NC(=Nc1ccncc1)NC#N)C(C)(C)C,-0.13978955,-0.09357,0.046222657
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,-0.16421817,-0.1189,0.045321688
Cc1cccc(C(C)c2cnc[nH]2)c1C,-0.120998316,-0.07947,0.041530542
CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,-0.015767343,0.02385,0.03961683
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1,-0.17323798,-0.1371,0.03615302
CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,-0.15782915,-0.194,0.036140576
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,0.010540399,-0.02504,0.035580073
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-0.17737205,-0.142,0.03540428
NC(=S)NN=Cc1ncccc1N,-0.16572148,-0.1305,0.035228312
N=C(N)c1ccc(C(=O)NC(Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,-0.17023137,-0.1356,0.034611255
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3Cn4cnc[n+]4C3)C(C)C12,-0.1736138,-0.1426,0.031035677
Cc1cc(F)ccc1C1CNCCN1C(=O)N(C)C(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-0.03831684,-0.00787,0.030443303
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,-0.17624457,-0.1473,0.028905705
N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)C(Cc1ccccc1)CN2Cc1cnc[nH]1,-0.149561,-0.1227,0.026880339
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-0.17737205,-0.1516,0.025760725
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cn3ccc(=N)n3CCO)CSC12)c1csc(N)n1,-0.16985555,-0.1459,0.023981526
Nc1cc(OCC2CC2)c(C(=O)NC2CN3CCC2CC3)cc1Cl,-0.034558587,-0.01149,0.023068719
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-0.034558587,-0.01231,0.022252373
O=C(O)CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,-0.14730605,-0.1257,0.021573633
CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1,-0.117240064,-0.0972,0.02001106
O=C(NCCO[N+](=O)[O-])c1cccnc1,-0.12851481,-0.1471,0.018579915
Clc1cccc(Cl)c1NC1=NCCN1,-0.057108082,-0.03876,0.018350758
Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,-0.16271487,-0.1478,0.01488772
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,0.0030239006,-0.006977,0.010000981
CCCn1c(=O)[n-]c(=O)c2nc[nH]c21,-0.15745333,-0.1526,0.0048654377
Cc1ncc(CO)c(CO)c1O,-0.15632585,-0.1523,0.003982097
COC1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)COC21,-0.17398962,-0.171,0.002969116
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,-0.10596532,-0.1079,0.00194484
